playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8470645,2016,Corey Crawford,CHI,G,other,4,240.0,0.12,0.0,5.0,0.12,0.0,0.65,1.0,2.31,1.0,0.06,0.0,1.03,0.0,1.0,2.0,0.12,3.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8470645,2016,Corey Crawford,CHI,G,all,4,15227.0,10.53,12.0,238.0,7.52,12.0,27.88,21.0,116.96,123.0,3.65,2.0,61.98,46.0,47.49,65.0,10.07,120.0,29.0,10.0,3.42,3.58,3.52,2.0,5.0,5.0,79.0,0.0,0.0
8470645,2016,Corey Crawford,CHI,G,5on5,4,13207.0,8.89,11.0,211.0,6.77,11.0,25.46,20.0,105.9,113.0,3.22,2.0,56.05,42.0,43.54,57.0,8.46,108.0,29.0,7.0,3.0,3.58,2.3,2.0,5.0,4.0,67.0,0.0,0.0
8470645,2016,Corey Crawford,CHI,G,4on5,4,873.0,1.52,1.0,20.0,0.61,1.0,1.63,0.0,8.01,8.0,0.0,0.0,4.67,4.0,2.36,5.0,1.49,8.0,0.0,3.0,0.3,0.0,1.22,0.0,0.0,1.0,9.0,0.0,0.0
8470645,2016,Corey Crawford,CHI,G,5on4,4,907.0,0.01,0.0,2.0,0.02,0.0,0.13,0.0,0.75,1.0,0.36,0.0,0.23,0.0,0.59,1.0,0.01,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8473434,2016,Chad Johnson,CGY,G,other,1,15.0,0.6,0.0,2.0,0.15,1.0,0.32,0.0,1.6,2.0,0.0,0.0,0.64,1.0,0.23,0.0,0.51,0.0,1.0,1.0,0.0,0.11,0.49,0.0,0.0,0.0,0.0,0.0,0.0
8473434,2016,Chad Johnson,CGY,G,all,1,3110.0,2.31,1.0,36.0,1.63,3.0,4.95,2.0,22.37,21.0,0.98,1.0,10.59,7.0,8.84,14.0,2.15,21.0,5.0,3.0,0.54,0.69,1.09,0.0,0.0,1.0,7.0,0.0,0.0
8473434,2016,Chad Johnson,CGY,G,5on5,1,2572.0,1.61,1.0,31.0,1.16,2.0,4.18,2.0,18.3,17.0,0.75,1.0,8.69,5.0,7.81,13.0,1.54,18.0,4.0,2.0,0.44,0.58,0.6,0.0,0.0,1.0,7.0,0.0,0.0
8473434,2016,Chad Johnson,CGY,G,4on5,1,240.0,0.1,0.0,3.0,0.32,0.0,0.45,0.0,2.47,2.0,0.02,0.0,1.25,1.0,0.81,1.0,0.1,3.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473434,2016,Chad Johnson,CGY,G,5on4,1,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475660,2016,Cam Talbot,EDM,G,other,13,1272.0,2.31,4.0,29.0,1.33,2.0,3.32,1.0,15.73,14.0,0.83,0.0,9.68,6.0,4.75,9.0,2.14,13.0,6.0,3.0,0.48,0.73,1.1,3.0,0.0,1.0,7.0,0.0,0.0
8475660,2016,Cam Talbot,EDM,G,all,13,46868.0,36.97,33.0,862.0,30.83,42.0,110.98,116.0,454.69,437.0,12.71,11.0,255.67,218.0,187.09,210.0,35.36,503.0,100.0,34.0,13.27,12.66,11.04,14.0,9.0,10.0,225.0,0.0,0.0
8475660,2016,Cam Talbot,EDM,G,5on5,13,37371.0,28.49,24.0,680.0,22.62,32.0,90.68,97.0,361.64,351.0,9.72,10.0,197.13,173.0,151.0,161.0,27.32,399.0,77.0,26.0,10.55,9.83,8.12,9.0,7.0,8.0,178.0,0.0,0.0
8475660,2016,Cam Talbot,EDM,G,4on5,13,4584.0,5.7,5.0,143.0,6.6,8.0,16.33,17.0,71.53,67.0,0.29,0.0,47.39,38.0,25.37,33.0,5.43,84.0,15.0,5.0,2.11,1.77,1.82,2.0,2.0,1.0,39.0,0.0,0.0
8475660,2016,Cam Talbot,EDM,G,5on4,13,3641.0,0.47,0.0,10.0,0.27,0.0,0.65,1.0,5.79,5.0,1.87,1.0,1.47,1.0,5.97,7.0,0.47,7.0,2.0,0.0,0.13,0.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8474651,2016,Braden Holtby,WSH,G,other,13,2098.0,3.09,5.0,47.0,1.88,2.0,4.18,3.0,22.81,24.0,0.69,1.0,13.07,14.0,8.03,7.0,2.82,14.0,13.0,4.0,0.49,1.49,1.11,2.0,0.0,3.0,16.0,0.0,0.0
8474651,2016,Braden Holtby,WSH,G,all,13,48207.0,32.7,33.0,724.0,25.81,26.0,87.7,103.0,372.52,365.0,14.16,15.0,206.94,167.0,153.82,182.0,31.4,381.0,108.0,30.0,10.54,12.84,9.32,8.0,13.0,12.0,205.0,2.0,1.0
8474651,2016,Braden Holtby,WSH,G,5on5,13,39015.0,23.39,22.0,578.0,19.35,18.0,72.76,90.0,296.72,288.0,11.6,12.0,163.28,125.0,125.69,152.0,22.71,318.0,79.0,17.0,8.96,9.35,5.08,6.0,10.0,6.0,164.0,2.0,1.0
8474651,2016,Braden Holtby,WSH,G,4on5,13,3705.0,5.48,5.0,90.0,4.3,6.0,9.99,10.0,47.44,46.0,0.15,0.0,29.32,27.0,15.35,18.0,5.12,43.0,16.0,7.0,1.0,2.0,2.47,0.0,3.0,2.0,24.0,0.0,0.0
8474651,2016,Braden Holtby,WSH,G,5on4,13,3389.0,0.74,1.0,9.0,0.29,0.0,0.78,0.0,5.54,7.0,1.72,2.0,1.27,1.0,4.76,5.0,0.74,6.0,0.0,2.0,0.09,0.0,0.65,0.0,0.0,1.0,1.0,0.0,0.0
8475831,2016,Philipp Grubauer,WSH,G,other,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475831,2016,Philipp Grubauer,WSH,G,all,1,1114.0,1.1,2.0,16.0,0.62,0.0,2.3,3.0,9.73,9.0,0.37,0.0,5.34,3.0,3.35,5.0,1.1,11.0,0.0,2.0,0.26,0.0,0.84,0.0,0.0,2.0,3.0,0.0,0.0
8475831,2016,Philipp Grubauer,WSH,G,5on5,1,858.0,0.69,1.0,11.0,0.46,0.0,1.61,2.0,6.7,5.0,0.33,0.0,3.52,2.0,2.53,4.0,0.69,8.0,0.0,1.0,0.25,0.0,0.44,0.0,0.0,1.0,2.0,0.0,0.0
8475831,2016,Philipp Grubauer,WSH,G,4on5,1,167.0,0.42,1.0,5.0,0.16,0.0,0.69,1.0,3.03,4.0,0.0,0.0,1.82,1.0,0.83,1.0,0.42,3.0,0.0,1.0,0.02,0.0,0.4,0.0,0.0,1.0,1.0,0.0,0.0
8475831,2016,Philipp Grubauer,WSH,G,5on4,1,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470880,2016,Brian Elliott,CGY,G,other,4,323.0,0.31,1.0,8.0,0.38,0.0,1.33,1.0,5.99,6.0,0.03,0.0,2.84,1.0,2.95,5.0,0.31,7.0,1.0,0.0,0.21,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8470880,2016,Brian Elliott,CGY,G,all,4,11120.0,7.87,12.0,203.0,6.96,5.0,27.04,23.0,108.94,100.0,3.5,6.0,60.08,61.0,45.53,47.0,7.6,118.0,25.0,8.0,2.84,2.87,2.16,8.0,2.0,2.0,52.0,0.0,0.0
8470880,2016,Brian Elliott,CGY,G,5on5,4,9039.0,5.3,8.0,157.0,4.94,5.0,21.82,16.0,84.63,76.0,2.78,5.0,46.37,50.0,35.87,36.0,5.18,99.0,12.0,6.0,2.24,1.36,1.71,5.0,1.0,2.0,40.0,0.0,0.0
8470880,2016,Brian Elliott,CGY,G,4on5,4,805.0,2.13,3.0,35.0,1.61,0.0,3.75,6.0,17.22,16.0,0.05,0.0,10.65,10.0,5.26,5.0,1.98,11.0,11.0,2.0,0.4,1.28,0.45,2.0,1.0,0.0,11.0,0.0,0.0
8470880,2016,Brian Elliott,CGY,G,5on4,4,953.0,0.13,0.0,3.0,0.04,0.0,0.13,0.0,1.1,2.0,0.65,1.0,0.23,0.0,1.44,1.0,0.13,1.0,1.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8471679,2016,Carey Price,MTL,G,other,6,468.0,0.4,1.0,16.0,0.48,0.0,2.33,5.0,8.05,9.0,0.05,0.0,5.02,2.0,2.48,2.0,0.4,10.0,1.0,0.0,0.32,0.08,0.0,1.0,0.0,0.0,5.0,0.0,0.0
8471679,2016,Carey Price,MTL,G,all,6,23248.0,12.87,12.0,356.0,11.63,4.0,43.35,46.0,174.32,179.0,6.69,8.0,99.06,91.0,73.26,84.0,12.54,192.0,44.0,10.0,5.02,5.14,2.71,3.0,3.0,6.0,110.0,0.0,0.0
8471679,2016,Carey Price,MTL,G,5on5,6,19214.0,10.8,9.0,301.0,9.53,3.0,36.91,35.0,146.87,147.0,5.44,7.0,82.33,79.0,62.56,73.0,10.57,161.0,39.0,7.0,4.34,4.63,1.82,2.0,2.0,5.0,94.0,0.0,0.0
8471679,2016,Carey Price,MTL,G,4on5,6,1446.0,1.4,1.0,31.0,1.4,1.0,3.58,5.0,16.39,18.0,0.24,1.0,10.58,10.0,5.49,6.0,1.3,17.0,4.0,2.0,0.32,0.42,0.65,0.0,1.0,0.0,8.0,0.0,0.0
8471679,2016,Carey Price,MTL,G,5on4,6,2120.0,0.27,1.0,8.0,0.22,0.0,0.53,1.0,3.02,5.0,0.97,0.0,1.12,0.0,2.73,3.0,0.27,4.0,0.0,1.0,0.04,0.0,0.23,0.0,0.0,1.0,3.0,0.0,0.0
