team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
ARI,2009,ARI,2009030181,ARI,DET,HOME,20100414,Team Level,other,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.704,0.021,0.039,0.149,0.021,0.475,0.295,0.021,0.021,0.021,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.014,0.0,0.0,0.034,0.034,0.034
ARI,2009,ARI,2009030181,ARI,DET,HOME,20100414,Team Level,all,0.4942,0.4331,0.4519,3600.0,34.186,2.692,2.487,6.78,0.969,19.983,14.088,2.533,2.637,2.478,35.0,12.0,8.0,55.0,3.0,1.0,0.0,8.0,0.0,19.0,16.0,32.0,44.0,7.0,14.0,34.0,43.0,3.0,1.0,34.0,12.0,1.0,1.088,1.368,0.237,1.0,2.0,0.0,54.593,47.0,46.763,0.0,0.548,0.237,0.237,3.004,2.937,2.764,40.188,2.755,2.63,9.182,1.251,23.347,17.835,2.311,2.809,2.365,40.0,17.0,15.0,72.0,2.0,2.0,0.0,9.0,1.0,20.0,23.0,38.0,55.0,5.0,10.0,34.0,20.0,4.0,2.0,52.0,3.0,2.0,1.119,0.389,1.246,2.0,0.0,0.0,73.49,57.0,58.032,1.0,0.605,0.97,0.97,2.39,2.455,2.388
ARI,2009,ARI,2009030181,ARI,DET,HOME,20100414,Team Level,5on5,0.5441,0.4419,0.4429,2624.0,22.704,1.445,1.562,4.517,0.608,13.192,9.677,1.423,1.389,1.368,22.0,9.0,7.0,38.0,0.0,0.0,0.0,5.0,0.0,14.0,12.0,22.0,31.0,5.0,10.0,20.0,38.0,3.0,1.0,26.0,5.0,0.0,0.815,0.63,0.0,0.0,0.0,0.0,37.593,31.0,30.763,0.0,0.321,0.0,0.0,1.765,1.699,1.674,26.866,1.211,1.513,6.463,0.881,15.422,13.51,1.202,1.265,1.255,27.0,12.0,9.0,48.0,1.0,1.0,0.0,7.0,0.0,12.0,18.0,26.0,38.0,4.0,8.0,23.0,16.0,4.0,1.0,37.0,2.0,0.0,0.974,0.236,0.0,1.0,0.0,0.0,49.49,39.0,40.032,1.0,0.302,0.029,0.029,1.484,1.549,1.539
ARI,2009,ARI,2009030181,ARI,DET,HOME,20100414,Team Level,4on5,0.069,0.0833,0.1053,658.0,1.671,0.113,0.082,0.161,0.04,0.396,1.209,0.113,0.113,0.113,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,0.006,0.107,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.019,0.0,0.0,0.132,0.132,0.132,12.619,1.524,1.078,2.57,0.349,7.45,4.03,1.089,1.524,1.089,13.0,4.0,5.0,22.0,1.0,1.0,0.0,2.0,1.0,8.0,4.0,12.0,16.0,1.0,2.0,7.0,4.0,0.0,1.0,14.0,1.0,2.0,0.124,0.153,1.246,1.0,0.0,0.0,22.0,17.0,17.0,0.0,0.289,0.941,0.941,0.872,0.872,0.815
ARI,2009,ARI,2009030181,ARI,DET,HOME,20100414,Team Level,5on4,1.0,1.0,1.0,238.0,9.811,1.135,0.844,2.102,0.321,6.396,3.202,0.997,1.135,0.997,11.0,3.0,1.0,15.0,3.0,1.0,0.0,3.0,0.0,5.0,2.0,8.0,11.0,1.0,2.0,6.0,0.0,0.0,0.0,7.0,6.0,1.0,0.267,0.631,0.237,1.0,2.0,0.0,15.0,14.0,14.0,0.0,0.208,0.237,0.237,1.106,1.106,0.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARI,2009,ARI,2009030182,ARI,DET,HOME,20100416,Team Level,other,0.0567,0.3333,0.3333,74.0,0.783,0.027,0.024,0.286,0.025,0.32,0.318,0.027,0.027,0.027,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.033,0.033,0.033,1.331,0.449,0.034,0.271,0.043,0.484,0.718,0.449,0.449,0.449,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.007,0.0,0.442,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.009,0.0,0.0,0.458,0.458,0.458
ARI,2009,ARI,2009030182,ARI,DET,HOME,20100416,Team Level,all,0.3877,0.4344,0.4149,3600.0,29.351,2.457,1.86,6.386,0.898,15.091,12.308,2.43,2.401,2.374,31.0,8.0,14.0,53.0,4.0,1.0,1.0,9.0,1.0,8.0,16.0,27.0,35.0,3.0,6.0,35.0,31.0,5.0,3.0,28.0,9.0,2.0,0.798,1.066,0.593,0.0,3.0,1.0,52.259,39.0,38.495,0.0,0.395,0.313,0.313,2.539,2.473,2.468,39.484,3.88,2.506,8.464,1.176,21.789,17.185,3.86,4.002,3.981,39.0,16.0,14.0,69.0,7.0,1.0,1.0,6.0,0.0,19.0,22.0,32.0,48.0,4.0,8.0,35.0,38.0,5.0,1.0,44.0,6.0,5.0,1.042,0.756,2.082,0.0,3.0,4.0,70.81,55.0,56.281,0.0,0.55,0.35,0.35,4.079,4.189,4.166
ARI,2009,ARI,2009030182,ARI,DET,HOME,20100416,Team Level,5on5,0.4727,0.4257,0.4304,2844.0,25.509,2.086,1.571,5.363,0.73,13.08,11.17,2.059,2.031,2.003,27.0,7.0,9.0,43.0,4.0,1.0,1.0,7.0,1.0,8.0,13.0,23.0,30.0,3.0,6.0,22.0,25.0,3.0,1.0,25.0,7.0,2.0,0.709,0.784,0.593,0.0,3.0,1.0,42.259,34.0,33.495,0.0,0.327,0.313,0.313,2.1,2.034,2.029,32.658,2.327,2.059,7.184,0.959,17.874,14.597,2.309,2.449,2.43,34.0,11.0,13.0,58.0,4.0,1.0,1.0,5.0,0.0,15.0,20.0,30.0,41.0,3.0,6.0,31.0,35.0,4.0,1.0,37.0,6.0,2.0,0.996,0.756,0.575,0.0,3.0,1.0,59.81,45.0,46.281,0.0,0.424,0.35,0.35,2.401,2.51,2.491
ARI,2009,ARI,2009030182,ARI,DET,HOME,20100416,Team Level,4on5,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.494,1.104,0.413,1.008,0.174,3.431,1.87,1.101,1.104,1.101,3.0,5.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,6.0,0.0,2.0,0.039,0.0,1.064,0.0,0.0,2.0,9.0,8.0,8.0,0.0,0.117,0.0,0.0,1.22,1.22,1.218
ARI,2009,ARI,2009030182,ARI,DET,HOME,20100416,Team Level,5on4,1.0,1.0,1.0,425.0,3.06,0.344,0.266,0.737,0.144,1.69,0.82,0.344,0.344,0.344,3.0,1.0,5.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,6.0,6.0,0.0,2.0,2.0,2.0,0.0,0.062,0.282,0.0,0.0,0.0,0.0,9.0,4.0,4.0,0.0,0.063,0.0,0.0,0.407,0.407,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
