team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BOS,2008,BOS,2008030111,BOS,MTL,HOME,20090416,Team Level,other,1.0,1.0,1.0,56.0,0.821,0.916,0.016,0.007,0.004,0.032,0.025,0.916,0.916,0.916,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.916,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.003,0.0,0.0,0.919,0.919,0.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,2008,BOS,2008030111,BOS,MTL,HOME,20090416,Team Level,all,0.663,0.5421,0.5568,3600.0,34.26,3.666,2.428,8.057,1.218,19.391,14.241,3.471,3.627,3.434,39.0,10.0,9.0,58.0,4.0,3.0,1.0,10.0,1.0,19.0,12.0,35.0,45.0,4.0,8.0,34.0,23.0,4.0,2.0,38.0,8.0,3.0,1.199,1.01,1.457,2.0,1.0,1.0,58.206,49.0,49.494,1.0,0.519,0.726,0.726,3.458,3.428,3.312,28.386,1.863,1.74,6.553,0.973,14.571,13.3,1.808,1.885,1.83,28.0,11.0,10.0,49.0,2.0,2.0,1.0,14.0,0.0,7.0,14.0,26.0,37.0,6.0,12.0,37.0,31.0,2.0,1.0,31.0,7.0,1.0,0.69,0.91,0.263,1.0,0.0,1.0,48.859,39.0,38.698,0.0,0.363,0.429,0.429,1.797,1.824,1.803
BOS,2008,BOS,2008030111,BOS,MTL,HOME,20090416,Team Level,5on5,0.5468,0.5059,0.5362,2881.0,25.992,2.148,1.799,6.587,1.003,14.883,10.581,1.972,2.109,1.935,31.0,6.0,6.0,43.0,2.0,3.0,1.0,9.0,0.0,14.0,9.0,29.0,35.0,3.0,6.0,26.0,19.0,4.0,1.0,29.0,6.0,2.0,0.86,0.746,0.541,1.0,1.0,0.0,43.206,37.0,37.494,1.0,0.37,0.726,0.726,1.791,1.761,1.669,23.407,1.78,1.329,5.534,0.812,11.558,10.987,1.726,1.803,1.748,21.0,11.0,10.0,42.0,2.0,2.0,1.0,11.0,0.0,5.0,12.0,19.0,30.0,5.0,10.0,30.0,29.0,2.0,1.0,24.0,7.0,1.0,0.607,0.91,0.263,1.0,0.0,1.0,41.859,32.0,31.698,0.0,0.268,0.429,0.429,1.619,1.646,1.625
BOS,2008,BOS,2008030111,BOS,MTL,HOME,20090416,Team Level,4on5,0.4054,0.1429,0.1429,240.0,0.61,0.03,0.025,0.081,0.018,0.273,0.572,0.03,0.03,0.03,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.035,0.035,0.035,4.237,0.044,0.384,0.914,0.139,2.8,1.718,0.044,0.044,0.044,6.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.089,0.0,0.0,0.133,0.133,0.133
BOS,2008,BOS,2008030111,BOS,MTL,HOME,20090416,Team Level,5on4,0.9377,0.9286,0.9091,423.0,6.837,0.572,0.588,1.382,0.193,4.203,3.063,0.553,0.572,0.553,6.0,4.0,3.0,13.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,5.0,9.0,0.0,0.0,4.0,1.0,0.0,1.0,8.0,2.0,0.0,0.309,0.263,0.0,1.0,0.0,0.0,13.0,10.0,10.0,0.0,0.14,0.0,0.0,0.712,0.712,0.689,0.742,0.038,0.027,0.105,0.022,0.214,0.595,0.038,0.038,0.038,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.045,0.045,0.045
BOS,2008,BOS,2008030112,BOS,MTL,HOME,20090418,Team Level,other,0.5941,0.6154,0.6667,259.0,5.921,0.584,0.297,1.393,0.184,2.893,2.648,0.583,0.584,0.583,7.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,7.0,8.0,2.0,12.0,6.0,1.0,2.0,0.0,5.0,3.0,0.0,0.103,0.482,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.073,0.0,0.0,0.657,0.657,0.656,3.037,0.399,0.144,0.66,0.093,1.285,1.419,0.393,0.399,0.393,3.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,2.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.065,0.123,0.21,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.037,0.0,0.0,0.436,0.436,0.429
BOS,2008,BOS,2008030112,BOS,MTL,HOME,20090418,Team Level,all,0.4843,0.4953,0.4659,3600.0,29.347,3.119,1.996,6.645,0.951,16.309,11.98,3.054,3.133,3.067,31.0,10.0,12.0,53.0,5.0,1.0,1.0,6.0,1.0,13.0,15.0,26.0,36.0,6.0,23.0,34.0,24.0,9.0,3.0,25.0,14.0,2.0,0.818,1.883,0.418,2.0,3.0,0.0,54.722,41.0,41.825,3.0,0.45,0.125,0.125,3.444,3.458,3.417,33.618,3.321,1.945,7.071,1.008,16.644,16.076,3.273,3.309,3.262,31.0,16.0,7.0,54.0,1.0,1.0,0.0,11.0,2.0,12.0,20.0,30.0,46.0,10.0,23.0,18.0,28.0,3.0,4.0,35.0,8.0,4.0,1.057,0.984,1.28,1.0,0.0,0.0,51.481,47.0,46.029,0.0,0.416,0.307,0.307,3.365,3.354,3.324
BOS,2008,BOS,2008030112,BOS,MTL,HOME,20090418,Team Level,5on5,0.424,0.4189,0.377,2640.0,16.574,1.643,1.058,3.877,0.513,9.135,6.774,1.596,1.656,1.609,15.0,8.0,8.0,31.0,2.0,1.0,1.0,3.0,0.0,9.0,8.0,13.0,21.0,4.0,11.0,22.0,23.0,6.0,3.0,15.0,6.0,2.0,0.426,0.799,0.418,1.0,1.0,0.0,32.722,23.0,23.825,3.0,0.22,0.125,0.125,1.738,1.751,1.732,28.384,2.232,1.703,6.216,0.856,14.73,12.263,2.196,2.221,2.185,25.0,13.0,5.0,43.0,1.0,1.0,0.0,10.0,2.0,9.0,15.0,24.0,37.0,8.0,19.0,13.0,26.0,1.0,3.0,29.0,7.0,2.0,0.845,0.861,0.526,1.0,0.0,0.0,40.481,38.0,37.029,0.0,0.35,0.307,0.307,2.276,2.265,2.243
BOS,2008,BOS,2008030112,BOS,MTL,HOME,20090418,Team Level,4on5,0.2037,0.2,0.25,258.0,0.707,0.176,0.038,0.069,0.026,0.223,0.468,0.176,0.176,0.176,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.185,0.185,0.185,1.597,0.688,0.079,0.174,0.039,0.609,0.476,0.683,0.688,0.683,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.144,0.0,0.543,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.025,0.0,0.0,0.647,0.647,0.647
BOS,2008,BOS,2008030112,BOS,MTL,HOME,20090418,Team Level,5on4,0.9972,0.8667,0.8182,443.0,6.144,0.716,0.603,1.307,0.228,4.057,2.09,0.699,0.716,0.699,8.0,1.0,4.0,13.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,5.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,4.0,0.0,0.29,0.426,0.0,1.0,2.0,0.0,13.0,9.0,9.0,0.0,0.149,0.0,0.0,0.865,0.865,0.845,0.6,0.002,0.02,0.02,0.02,0.02,1.918,0.002,0.002,0.002,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.004,0.0,0.0,0.006,0.006,0.006
