team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CAR,2008,CAR,2008030131,CAR,NJD,AWAY,20090415,Team Level,other,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.135,0.128,0.151,0.126,0.051,1.228,0.315,0.124,0.128,0.124,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.037,0.0,0.0,0.165,0.165,0.159
CAR,2008,CAR,2008030131,CAR,NJD,AWAY,20090415,Team Level,all,0.2175,0.3571,0.32,3600.0,18.322,1.094,1.076,4.511,0.524,8.68,8.114,1.057,1.088,1.051,19.0,5.0,11.0,35.0,1.0,1.0,1.0,3.0,0.0,10.0,9.0,18.0,23.0,3.0,6.0,30.0,28.0,2.0,5.0,18.0,5.0,1.0,0.327,0.443,0.324,0.0,0.0,1.0,33.032,24.0,23.217,3.0,0.223,0.324,0.324,0.994,0.99,0.982,35.334,3.937,2.807,8.305,1.155,20.65,13.21,3.521,3.958,3.54,39.0,12.0,12.0,63.0,4.0,6.0,0.0,7.0,2.0,16.0,16.0,35.0,47.0,2.0,4.0,25.0,32.0,8.0,11.0,36.0,11.0,4.0,1.324,1.171,1.441,3.0,1.0,0.0,65.948,51.0,52.155,5.0,0.624,1.669,1.669,2.828,2.848,2.779
CAR,2008,CAR,2008030131,CAR,NJD,AWAY,20090415,Team Level,5on5,0.377,0.4459,0.4182,2916.0,17.645,1.073,1.058,4.401,0.507,8.423,7.537,1.036,1.066,1.03,19.0,4.0,10.0,33.0,1.0,1.0,1.0,3.0,0.0,10.0,8.0,18.0,22.0,3.0,6.0,24.0,27.0,2.0,5.0,17.0,5.0,1.0,0.306,0.443,0.324,0.0,0.0,1.0,31.032,23.0,22.217,3.0,0.22,0.324,0.324,0.969,0.965,0.957,22.882,1.773,1.56,5.928,0.735,12.902,9.102,1.724,1.793,1.743,24.0,8.0,9.0,41.0,4.0,3.0,0.0,4.0,2.0,9.0,10.0,20.0,28.0,2.0,4.0,20.0,31.0,8.0,8.0,24.0,6.0,2.0,0.673,0.596,0.504,3.0,1.0,0.0,43.948,32.0,33.155,4.0,0.321,0.585,0.585,1.509,1.529,1.518
CAR,2008,CAR,2008030131,CAR,NJD,AWAY,20090415,Team Level,4on5,0.0103,0.05,0.0588,427.0,0.677,0.021,0.018,0.11,0.017,0.257,0.577,0.021,0.021,0.021,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.004,0.0,0.0,0.025,0.025,0.025,10.606,2.015,1.075,2.127,0.351,6.308,3.19,1.651,2.015,1.651,13.0,3.0,3.0,19.0,0.0,3.0,0.0,2.0,0.0,5.0,6.0,13.0,16.0,0.0,0.0,4.0,1.0,0.0,2.0,9.0,5.0,2.0,0.501,0.576,0.938,0.0,0.0,0.0,19.0,16.0,16.0,0.0,0.262,1.084,1.084,1.128,1.128,1.075
CAR,2008,CAR,2008030131,CAR,NJD,AWAY,20090415,Team Level,5on4,0.0,0.5,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711,0.022,0.02,0.125,0.018,0.211,0.603,0.022,0.022,0.022,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.004,0.0,0.0,0.027,0.027,0.027
CAR,2008,CAR,2008030132,CAR,NJD,AWAY,20090417,Team Level,other,0.5,0.5,0.5,79.0,0.799,0.008,0.008,0.093,0.026,0.248,0.616,0.008,0.008,0.008,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.002,0.0,0.0,0.01,0.01,0.01,0.732,0.008,0.024,0.219,0.016,0.371,0.362,0.008,0.008,0.008,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.014,0.014,0.014
CAR,2008,CAR,2008030132,CAR,NJD,AWAY,20090417,Team Level,all,0.472,0.4516,0.4756,3760.0,27.991,1.963,1.516,6.083,0.864,14.424,13.215,1.944,2.009,1.99,32.0,7.0,3.0,42.0,2.0,0.0,0.0,4.0,0.0,13.0,20.0,30.0,37.0,7.0,14.0,24.0,32.0,6.0,5.0,34.0,3.0,2.0,0.79,0.283,0.889,1.0,0.0,1.0,42.867,39.0,39.69,3.0,0.325,0.0,0.272,1.95,1.998,1.99,31.753,2.196,1.954,7.52,0.956,17.949,12.425,2.173,2.134,2.111,34.0,9.0,8.0,51.0,1.0,1.0,0.0,9.0,0.0,9.0,23.0,33.0,42.0,4.0,8.0,39.0,24.0,16.0,8.0,33.0,10.0,0.0,1.115,1.081,0.0,0.0,1.0,0.0,49.972,43.0,42.242,4.0,0.422,0.056,0.056,2.563,2.492,2.465
CAR,2008,CAR,2008030132,CAR,NJD,AWAY,20090417,Team Level,5on5,0.4666,0.4571,0.4833,2892.0,20.466,1.273,1.098,4.796,0.632,10.843,9.424,1.255,1.319,1.3,25.0,4.0,3.0,32.0,1.0,0.0,0.0,4.0,0.0,9.0,15.0,24.0,28.0,7.0,14.0,16.0,27.0,5.0,5.0,25.0,3.0,1.0,0.717,0.283,0.272,1.0,0.0,0.0,32.867,29.0,29.69,3.0,0.219,0.0,0.272,1.154,1.202,1.195,23.25,1.455,1.362,5.571,0.69,12.663,9.259,1.442,1.393,1.381,26.0,5.0,7.0,38.0,0.0,1.0,0.0,6.0,0.0,7.0,17.0,26.0,31.0,3.0,6.0,28.0,23.0,13.0,5.0,25.0,6.0,0.0,0.804,0.651,0.0,0.0,0.0,0.0,36.972,31.0,30.242,3.0,0.277,0.056,0.056,1.677,1.605,1.591
CAR,2008,CAR,2008030132,CAR,NJD,AWAY,20090417,Team Level,4on5,0.0253,0.1429,0.1538,583.0,1.54,0.019,0.026,0.133,0.044,0.407,1.371,0.019,0.019,0.019,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,2.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.007,0.0,0.0,0.026,0.026,0.026,7.771,0.733,0.568,1.73,0.25,4.915,2.804,0.722,0.733,0.722,8.0,3.0,1.0,12.0,1.0,0.0,0.0,3.0,0.0,2.0,5.0,7.0,10.0,1.0,2.0,10.0,0.0,2.0,2.0,7.0,4.0,0.0,0.303,0.43,0.0,0.0,1.0,0.0,12.0,11.0,11.0,0.0,0.14,0.0,0.0,0.873,0.873,0.86
CAR,2008,CAR,2008030132,CAR,NJD,AWAY,20090417,Team Level,5on4,1.0,1.0,1.0,206.0,5.186,0.663,0.384,1.062,0.163,2.926,1.803,0.662,0.663,0.662,4.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,0.046,0.0,0.617,0.0,0.0,1.0,7.0,7.0,7.0,0.0,0.097,0.0,0.0,0.76,0.76,0.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
