team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
DAL,2013,DAL,2013030171,DAL,ANA,AWAY,20140416,Team Level,other,0.8742,0.8333,0.7778,126.0,5.366,1.23,0.416,1.1,0.22,2.689,1.346,1.188,1.23,1.188,5.0,2.0,3.0,10.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,2.0,0.107,0.083,1.04,0.0,0.0,1.0,10.0,7.0,7.0,0.0,0.144,0.292,0.292,1.082,1.082,1.048,1.471,0.177,0.154,0.294,0.051,1.081,0.244,0.172,0.177,0.172,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.037,0.14,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.039,0.0,0.0,0.216,0.216,0.209
DAL,2013,DAL,2013030171,DAL,ANA,AWAY,20140416,Team Level,all,0.5082,0.5308,0.4948,3600.0,35.166,3.122,2.666,7.701,1.137,18.84,14.535,3.05,3.091,3.021,35.0,13.0,21.0,69.0,3.0,6.0,0.0,7.0,2.0,17.0,13.0,32.0,45.0,5.0,10.0,37.0,27.0,3.0,8.0,38.0,8.0,2.0,1.094,0.988,1.04,2.0,0.0,1.0,65.77,48.0,46.714,2.0,0.628,0.874,0.874,2.876,2.849,2.8,34.777,3.021,2.51,8.032,1.187,20.312,13.938,2.977,3.054,3.009,35.0,14.0,12.0,61.0,4.0,1.0,1.0,7.0,1.0,20.0,16.0,31.0,45.0,3.0,6.0,46.0,28.0,4.0,13.0,34.0,13.0,2.0,0.88,1.492,0.65,0.0,2.0,2.0,65.28,49.0,50.956,4.0,0.547,0.382,0.382,3.186,3.22,3.173
DAL,2013,DAL,2013030171,DAL,ANA,AWAY,20140416,Team Level,5on5,0.4517,0.4848,0.4459,2541.0,24.045,1.834,1.777,5.365,0.727,12.577,10.721,1.804,1.804,1.775,27.0,6.0,15.0,48.0,2.0,4.0,0.0,5.0,1.0,13.0,8.0,25.0,31.0,5.0,10.0,23.0,22.0,1.0,5.0,26.0,7.0,0.0,0.929,0.905,0.0,2.0,0.0,0.0,44.77,33.0,31.714,2.0,0.364,0.582,0.582,1.616,1.589,1.575,29.172,2.226,1.903,6.944,0.976,16.509,12.443,2.202,2.258,2.234,29.0,12.0,10.0,51.0,2.0,1.0,1.0,6.0,1.0,17.0,14.0,27.0,39.0,3.0,6.0,38.0,25.0,3.0,10.0,32.0,7.0,2.0,0.803,0.772,0.65,0.0,0.0,2.0,55.28,41.0,42.956,4.0,0.39,0.382,0.382,2.234,2.268,2.247
DAL,2013,DAL,2013030171,DAL,ANA,AWAY,20140416,Team Level,4on5,0.0175,0.1111,0.1429,454.0,0.715,0.011,0.018,0.157,0.023,0.246,0.546,0.011,0.011,0.011,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.016,0.016,0.016,4.134,0.619,0.453,0.795,0.161,2.721,1.251,0.602,0.619,0.602,4.0,2.0,2.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,5.0,0.0,0.039,0.58,0.0,0.0,2.0,0.0,8.0,6.0,6.0,0.0,0.117,0.0,0.0,0.736,0.736,0.718
DAL,2013,DAL,2013030171,DAL,ANA,AWAY,20140416,Team Level,5on4,1.0,1.0,1.0,479.0,5.041,0.047,0.456,1.079,0.167,3.329,1.922,0.047,0.047,0.047,3.0,4.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,7.0,0.0,0.0,5.0,2.0,2.0,2.0,7.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,10.0,7.0,7.0,0.0,0.115,0.0,0.0,0.162,0.162,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAL,2013,DAL,2013030172,DAL,ANA,AWAY,20140418,Team Level,other,1.0,1.0,1.0,145.0,4.455,0.827,0.417,0.751,0.146,2.975,0.884,0.689,0.827,0.689,4.0,2.0,3.0,9.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0.13,0.121,0.576,0.0,0.0,0.0,9.0,6.0,6.0,0.0,0.128,0.576,0.576,0.378,0.378,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAL,2013,DAL,2013030172,DAL,ANA,AWAY,20140418,Team Level,all,0.699,0.6186,0.6778,3600.0,42.673,3.509,2.99,9.865,1.385,24.903,18.347,3.346,3.543,3.379,36.0,25.0,12.0,73.0,2.0,2.0,1.0,10.0,0.0,27.0,20.0,34.0,59.0,3.0,6.0,31.0,28.0,3.0,10.0,51.0,6.0,4.0,1.024,0.733,1.752,0.0,0.0,2.0,72.72,61.0,60.742,2.0,0.686,0.908,0.908,3.287,3.33,3.21,21.257,1.511,1.353,4.7,0.671,11.783,8.981,1.504,1.44,1.433,19.0,10.0,16.0,45.0,3.0,0.0,0.0,1.0,1.0,10.0,14.0,16.0,26.0,6.0,12.0,30.0,40.0,7.0,10.0,22.0,7.0,0.0,0.738,0.774,0.0,2.0,1.0,0.0,43.507,29.0,28.087,1.0,0.292,0.0,0.0,1.803,1.72,1.711
DAL,2013,DAL,2013030172,DAL,ANA,AWAY,20140418,Team Level,5on5,0.6327,0.6023,0.6765,2610.0,32.074,2.055,2.04,8.026,1.052,18.123,14.703,2.031,2.089,2.064,24.0,22.0,7.0,53.0,1.0,1.0,1.0,8.0,0.0,19.0,17.0,23.0,45.0,2.0,4.0,22.0,24.0,2.0,7.0,39.0,5.0,2.0,0.826,0.612,0.617,0.0,0.0,1.0,52.72,46.0,45.742,1.0,0.418,0.331,0.331,2.142,2.184,2.162,16.177,1.193,1.03,3.796,0.528,9.211,6.241,1.19,1.122,1.119,13.0,9.0,13.0,35.0,2.0,0.0,0.0,1.0,1.0,7.0,11.0,11.0,20.0,6.0,12.0,20.0,35.0,5.0,7.0,15.0,7.0,0.0,0.42,0.774,0.0,1.0,1.0,0.0,33.507,22.0,21.087,1.0,0.213,0.0,0.0,1.406,1.323,1.319
DAL,2013,DAL,2013030172,DAL,ANA,AWAY,20140418,Team Level,4on5,0.0052,0.125,0.2,309.0,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.002,0.0,0.0,0.003,0.003,0.003,2.872,0.191,0.225,0.571,0.083,1.898,1.032,0.187,0.191,0.187,4.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,3.0,4.0,0.0,2.0,4.0,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.057,0.0,0.0,0.249,0.249,0.244
DAL,2013,DAL,2013030172,DAL,ANA,AWAY,20140418,Team Level,5on4,0.8313,0.7692,0.7273,536.0,5.845,0.626,0.523,1.078,0.177,3.796,1.801,0.626,0.626,0.626,7.0,1.0,2.0,10.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,7.0,1.0,2.0,7.0,1.0,1.0,2.0,7.0,0.0,1.0,0.067,0.0,0.559,0.0,0.0,1.0,10.0,8.0,8.0,0.0,0.138,0.0,0.0,0.764,0.764,0.763,2.207,0.127,0.098,0.333,0.06,0.674,1.709,0.127,0.127,0.127,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.127,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.022,0.0,0.0,0.148,0.148,0.148
