team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
LAK,2009,LAK,2009030171,LAK,VAN,AWAY,20100415,Team Level,other,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAK,2009,LAK,2009030171,LAK,VAN,AWAY,20100415,Team Level,all,0.4603,0.4,0.3939,4132.0,28.513,2.882,2.133,5.977,0.858,15.825,11.324,2.808,2.946,2.87,27.0,12.0,13.0,52.0,2.0,1.0,0.0,7.0,1.0,15.0,13.0,25.0,37.0,5.0,10.0,33.0,17.0,7.0,5.0,29.0,7.0,3.0,0.919,0.713,1.25,0.0,0.0,2.0,53.287,39.0,39.863,3.0,0.49,0.137,0.137,3.235,3.305,3.216,42.445,3.379,2.902,9.239,1.315,25.139,18.026,3.209,3.283,3.117,44.0,16.0,18.0,78.0,3.0,2.0,1.0,16.0,1.0,21.0,17.0,41.0,57.0,4.0,19.0,33.0,25.0,12.0,9.0,46.0,11.0,3.0,1.432,1.124,0.823,1.0,1.0,1.0,76.172,60.0,58.726,6.0,0.625,0.616,0.616,3.387,3.291,3.194
LAK,2009,LAK,2009030171,LAK,VAN,AWAY,20100415,Team Level,5on5,0.3596,0.3838,0.3562,3362.0,19.177,1.264,1.312,4.533,0.588,10.269,8.034,1.236,1.328,1.299,18.0,8.0,12.0,38.0,0.0,1.0,0.0,6.0,1.0,8.0,10.0,18.0,26.0,4.0,8.0,22.0,17.0,5.0,3.0,19.0,7.0,0.0,0.551,0.713,0.0,0.0,0.0,0.0,39.287,26.0,26.863,2.0,0.267,0.137,0.137,1.394,1.464,1.438,33.066,2.251,2.093,7.491,1.034,19.616,14.516,2.179,2.156,2.087,34.0,13.0,14.0,61.0,2.0,1.0,0.0,12.0,1.0,17.0,14.0,32.0,45.0,4.0,19.0,29.0,24.0,11.0,9.0,39.0,7.0,1.0,1.201,0.677,0.373,1.0,1.0,0.0,59.172,47.0,45.726,6.0,0.422,0.373,0.373,2.301,2.204,2.159
LAK,2009,LAK,2009030171,LAK,VAN,AWAY,20100415,Team Level,4on5,0.0169,0.0588,0.0769,371.0,0.676,0.019,0.021,0.126,0.021,0.232,0.581,0.019,0.019,0.019,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.005,0.0,0.0,0.023,0.023,0.023,8.734,1.106,0.783,1.647,0.263,5.279,2.921,1.008,1.106,1.008,10.0,2.0,4.0,16.0,1.0,1.0,1.0,3.0,0.0,4.0,3.0,9.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,4.0,2.0,0.21,0.446,0.45,0.0,0.0,1.0,16.0,12.0,12.0,0.0,0.197,0.244,0.244,1.06,1.06,1.008
LAK,2009,LAK,2009030171,LAK,VAN,AWAY,20100415,Team Level,5on4,0.987,0.9286,0.9231,333.0,8.659,1.599,0.8,1.319,0.25,5.323,2.709,1.553,1.599,1.553,8.0,4.0,1.0,13.0,2.0,0.0,0.0,1.0,0.0,7.0,2.0,6.0,10.0,1.0,2.0,6.0,0.0,0.0,1.0,9.0,0.0,3.0,0.349,0.0,1.25,0.0,0.0,2.0,13.0,12.0,12.0,0.0,0.218,0.0,0.0,1.818,1.818,1.755,0.645,0.021,0.026,0.102,0.018,0.244,0.589,0.021,0.021,0.021,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.027,0.027,0.027
LAK,2009,LAK,2009030172,LAK,VAN,AWAY,20100417,Team Level,other,0.8774,0.75,0.6667,27.0,1.42,0.186,0.132,0.215,0.048,1.059,0.36,0.177,0.186,0.177,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.044,0.0,0.0,0.23,0.23,0.219,0.579,0.026,0.059,0.101,0.018,0.588,0.207,0.026,0.026,0.026,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.015,0.0,0.0,0.041,0.041,0.041
LAK,2009,LAK,2009030172,LAK,VAN,AWAY,20100417,Team Level,all,0.6004,0.5283,0.5,4048.0,30.471,3.568,2.175,6.304,0.961,17.232,12.759,3.543,3.601,3.576,32.0,11.0,13.0,56.0,3.0,3.0,1.0,8.0,1.0,9.0,19.0,29.0,40.0,4.0,8.0,23.0,23.0,2.0,3.0,33.0,7.0,3.0,0.715,0.812,2.041,0.0,1.0,2.0,55.797,43.0,43.081,3.0,0.497,1.023,1.023,3.043,3.084,3.068,29.985,2.375,2.189,6.39,0.905,17.87,13.271,2.287,2.342,2.254,26.0,17.0,7.0,50.0,2.0,0.0,0.0,5.0,1.0,8.0,27.0,24.0,41.0,6.0,12.0,33.0,30.0,13.0,9.0,33.0,9.0,1.0,1.014,0.98,0.381,1.0,1.0,0.0,50.094,43.0,42.901,4.0,0.471,0.0,0.381,2.465,2.424,2.395
LAK,2009,LAK,2009030172,LAK,VAN,AWAY,20100417,Team Level,5on5,0.4844,0.473,0.4576,3020.0,19.301,1.474,1.228,4.146,0.584,10.348,9.22,1.473,1.507,1.506,20.0,7.0,8.0,35.0,1.0,1.0,0.0,4.0,1.0,5.0,15.0,19.0,26.0,3.0,6.0,16.0,20.0,2.0,2.0,21.0,5.0,1.0,0.573,0.626,0.276,0.0,1.0,0.0,34.797,27.0,27.081,2.0,0.254,0.105,0.105,1.623,1.664,1.663,22.222,1.569,1.563,4.857,0.685,13.403,9.923,1.562,1.536,1.529,20.0,12.0,7.0,39.0,1.0,0.0,0.0,2.0,1.0,7.0,21.0,19.0,31.0,5.0,10.0,22.0,21.0,9.0,9.0,24.0,8.0,0.0,0.675,0.893,0.0,0.0,1.0,0.0,39.094,32.0,31.901,4.0,0.319,0.0,0.0,1.887,1.847,1.838
LAK,2009,LAK,2009030172,LAK,VAN,AWAY,20100417,Team Level,4on5,0.0548,0.125,0.125,340.0,0.664,0.04,0.04,0.087,0.015,0.266,0.552,0.04,0.04,0.04,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.009,0.0,0.0,0.048,0.048,0.048,4.947,0.69,0.487,1.018,0.142,3.208,1.456,0.609,0.69,0.609,4.0,3.0,0.0,7.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,1.0,1.0,0.223,0.086,0.381,1.0,0.0,0.0,7.0,7.0,7.0,0.0,0.119,0.0,0.381,0.428,0.428,0.408
LAK,2009,LAK,2009030172,LAK,VAN,AWAY,20100417,Team Level,5on4,0.954,0.85,0.8125,661.0,9.087,1.868,0.776,1.856,0.314,5.559,2.627,1.853,1.868,1.853,10.0,3.0,4.0,17.0,2.0,2.0,1.0,3.0,0.0,3.0,3.0,8.0,11.0,1.0,2.0,4.0,1.0,0.0,0.0,11.0,0.0,2.0,0.103,0.0,1.765,0.0,0.0,2.0,17.0,13.0,13.0,0.0,0.191,0.918,0.918,1.141,1.141,1.137,2.238,0.09,0.081,0.414,0.06,0.671,1.685,0.09,0.09,0.09,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,7.0,8.0,4.0,0.0,3.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.018,0.0,0.0,0.108,0.108,0.108
