team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MIN,2012,MIN,2012030151,MIN,CHI,AWAY,20130430,Team Level,other,1.0,1.0,1.0,52.0,1.336,0.041,0.075,0.289,0.038,0.736,0.821,0.041,0.041,0.041,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.019,0.0,0.0,0.06,0.06,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,2012,MIN,2012030151,MIN,CHI,AWAY,20130430,Team Level,all,0.3395,0.4159,0.4512,4595.0,26.181,1.35,1.738,6.222,0.821,15.465,11.404,1.318,1.431,1.395,27.0,10.0,10.0,47.0,1.0,1.0,0.0,9.0,2.0,10.0,14.0,26.0,36.0,3.0,6.0,41.0,36.0,10.0,9.0,32.0,3.0,2.0,0.57,0.28,0.5,1.0,0.0,0.0,48.663,37.0,38.313,7.0,0.373,0.271,0.271,1.452,1.521,1.518,33.887,2.627,2.185,8.096,1.024,17.888,13.179,2.569,2.535,2.479,37.0,8.0,21.0,66.0,2.0,2.0,0.0,14.0,0.0,9.0,18.0,35.0,43.0,4.0,8.0,41.0,40.0,14.0,17.0,34.0,8.0,3.0,0.783,0.902,0.942,0.0,2.0,0.0,63.686,45.0,43.589,12.0,0.465,0.721,0.721,2.371,2.273,2.25
MIN,2012,MIN,2012030151,MIN,CHI,AWAY,20130430,Team Level,5on5,0.3771,0.3596,0.4154,3812.0,19.453,1.164,1.201,4.856,0.601,10.822,8.356,1.133,1.245,1.21,18.0,9.0,5.0,32.0,1.0,1.0,0.0,5.0,1.0,8.0,11.0,17.0,26.0,2.0,4.0,32.0,35.0,10.0,8.0,23.0,2.0,2.0,0.465,0.199,0.5,1.0,0.0,0.0,33.663,27.0,28.313,6.0,0.245,0.271,0.271,1.138,1.208,1.206,28.626,1.923,1.817,6.95,0.863,15.106,11.34,1.898,1.831,1.808,31.0,7.0,19.0,57.0,1.0,1.0,0.0,10.0,0.0,9.0,17.0,30.0,37.0,4.0,8.0,30.0,37.0,12.0,12.0,29.0,7.0,2.0,0.638,0.782,0.504,0.0,1.0,0.0,54.686,38.0,36.589,8.0,0.378,0.283,0.283,2.017,1.92,1.914
MIN,2012,MIN,2012030151,MIN,CHI,AWAY,20130430,Team Level,4on5,0.1032,0.1,0.125,303.0,0.772,0.081,0.046,0.079,0.019,0.279,0.496,0.081,0.081,0.081,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.081,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.01,0.0,0.0,0.091,0.091,0.091,5.261,0.704,0.368,1.146,0.161,2.782,1.839,0.671,0.704,0.671,6.0,1.0,2.0,9.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,4.0,0.0,1.0,1.0,5.0,1.0,1.0,0.145,0.121,0.438,0.0,1.0,0.0,9.0,7.0,7.0,0.0,0.087,0.438,0.438,0.354,0.354,0.336
MIN,2012,MIN,2012030151,MIN,CHI,AWAY,20130430,Team Level,5on4,1.0,1.0,1.0,428.0,4.621,0.063,0.415,0.999,0.163,3.629,1.731,0.063,0.063,0.063,6.0,1.0,5.0,12.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,6.0,7.0,1.0,2.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,12.0,7.0,7.0,0.0,0.099,0.0,0.0,0.162,0.162,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,2012,MIN,2012030152,MIN,CHI,AWAY,20130503,Team Level,other,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.396,0.023,0.037,0.017,0.289,0.237,0.396,0.396,0.396,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.396,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.401,0.401,0.401
MIN,2012,MIN,2012030152,MIN,CHI,AWAY,20130503,Team Level,all,0.3174,0.3636,0.3708,3600.0,25.192,1.931,2.257,6.576,1.452,12.048,8.737,1.838,1.919,1.827,28.0,5.0,11.0,44.0,2.0,6.0,1.0,5.0,0.0,8.0,12.0,26.0,31.0,5.0,10.0,26.0,43.0,4.0,3.0,26.0,5.0,2.0,0.76,0.503,0.668,0.0,1.0,1.0,42.459,33.0,32.156,3.0,0.565,0.693,0.693,1.803,1.799,1.763,40.559,4.152,2.945,9.171,1.284,22.557,15.892,4.01,4.168,4.025,48.0,8.0,21.0,77.0,5.0,3.0,2.0,9.0,1.0,21.0,17.0,43.0,51.0,3.0,6.0,31.0,35.0,14.0,6.0,39.0,13.0,4.0,1.264,1.613,1.275,0.0,2.0,3.0,79.486,56.0,57.425,4.0,0.628,0.712,0.712,4.068,4.079,3.982
MIN,2012,MIN,2012030152,MIN,CHI,AWAY,20130503,Team Level,5on5,0.3754,0.3438,0.3521,2863.0,18.426,1.743,1.193,4.303,0.618,9.733,7.409,1.662,1.731,1.651,21.0,4.0,8.0,33.0,2.0,2.0,1.0,3.0,0.0,7.0,11.0,19.0,23.0,5.0,10.0,21.0,42.0,4.0,3.0,18.0,5.0,2.0,0.572,0.503,0.668,0.0,1.0,1.0,31.459,25.0,24.156,3.0,0.246,0.549,0.549,1.441,1.436,1.42,33.6,2.9,2.392,7.879,1.066,18.593,13.17,2.787,2.916,2.802,38.0,8.0,17.0,63.0,3.0,3.0,2.0,8.0,1.0,19.0,12.0,35.0,43.0,3.0,6.0,24.0,33.0,12.0,4.0,34.0,10.0,2.0,1.1,1.252,0.548,0.0,2.0,1.0,65.486,46.0,47.425,3.0,0.496,0.712,0.712,2.684,2.695,2.634
MIN,2012,MIN,2012030152,MIN,CHI,AWAY,20130503,Team Level,4on5,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.843,0.48,0.412,1.055,0.159,3.237,1.658,0.451,0.48,0.451,7.0,0.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,7.0,7.0,0.0,0.0,5.0,1.0,1.0,1.0,4.0,3.0,0.0,0.119,0.361,0.0,0.0,0.0,0.0,10.0,7.0,7.0,0.0,0.1,0.0,0.0,0.58,0.58,0.545
MIN,2012,MIN,2012030152,MIN,CHI,AWAY,20130503,Team Level,5on4,0.3339,0.7857,0.8,240.0,6.765,0.188,1.064,2.273,0.833,2.315,1.327,0.176,0.188,0.176,7.0,1.0,3.0,11.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,7.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,11.0,8.0,8.0,0.0,0.319,0.144,0.144,0.362,0.362,0.342,1.636,0.375,0.118,0.2,0.042,0.438,0.827,0.375,0.375,0.375,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.044,0.0,0.331,0.0,0.0,1.0,3.0,2.0,2.0,1.0,0.027,0.0,0.0,0.402,0.402,0.402
