team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NSH,2009,NSH,2009030161,NSH,CHI,AWAY,20100416,Team Level,other,0.9645,0.6667,0.6667,63.0,1.694,1.738,0.028,0.017,0.013,0.105,0.099,1.738,1.738,1.738,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.738,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.006,0.0,0.0,1.744,1.744,1.744,0.653,0.064,0.047,0.109,0.022,0.558,0.2,0.064,0.064,0.064,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.012,0.0,0.0,0.076,0.076,0.076
NSH,2009,NSH,2009030161,NSH,CHI,AWAY,20100416,Team Level,all,0.5115,0.475,0.4943,3600.0,29.934,3.833,1.821,6.662,0.954,16.635,13.095,3.739,3.948,3.845,26.0,17.0,14.0,57.0,4.0,1.0,1.0,7.0,0.0,15.0,16.0,22.0,39.0,2.0,4.0,25.0,40.0,6.0,5.0,34.0,5.0,4.0,1.067,0.477,2.29,1.0,0.0,3.0,58.467,43.0,44.274,5.0,0.374,0.261,0.261,3.946,4.053,4.027,31.364,3.661,2.227,6.262,1.104,17.126,13.619,3.54,3.573,3.452,26.0,18.0,19.0,63.0,1.0,2.0,1.0,9.0,2.0,13.0,17.0,25.0,43.0,2.0,4.0,29.0,30.0,9.0,7.0,24.0,18.0,2.0,0.929,2.114,0.618,1.0,0.0,0.0,61.976,44.0,43.417,6.0,0.485,0.34,0.34,3.807,3.706,3.644
NSH,2009,NSH,2009030161,NSH,CHI,AWAY,20100416,Team Level,5on5,0.434,0.4804,0.52,3077.0,26.91,2.08,1.689,6.315,0.898,15.517,12.501,1.985,2.194,2.091,23.0,16.0,10.0,49.0,2.0,1.0,1.0,7.0,0.0,14.0,15.0,21.0,37.0,1.0,2.0,22.0,36.0,5.0,5.0,32.0,5.0,2.0,1.051,0.477,0.552,1.0,0.0,1.0,50.467,39.0,40.274,5.0,0.343,0.261,0.261,2.162,2.269,2.243,25.234,2.713,1.639,5.116,0.798,14.307,11.427,2.674,2.625,2.587,21.0,15.0,17.0,53.0,1.0,1.0,1.0,6.0,2.0,12.0,14.0,20.0,35.0,2.0,4.0,24.0,28.0,8.0,7.0,19.0,16.0,1.0,0.693,1.74,0.28,1.0,0.0,0.0,51.976,36.0,35.417,6.0,0.339,0.001,0.001,3.051,2.951,2.906
NSH,2009,NSH,2009030161,NSH,CHI,AWAY,20100416,Team Level,4on5,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.879,0.675,0.484,0.834,0.236,1.851,0.919,0.592,0.675,0.592,3.0,2.0,2.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.139,0.197,0.339,0.0,0.0,0.0,7.0,5.0,5.0,0.0,0.121,0.339,0.339,0.457,0.457,0.44
NSH,2009,NSH,2009030161,NSH,CHI,AWAY,20100416,Team Level,5on4,0.0711,0.75,0.5,230.0,1.33,0.016,0.104,0.329,0.043,1.013,0.495,0.016,0.016,0.016,1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.025,0.0,0.0,0.041,0.041,0.041,1.597,0.209,0.056,0.203,0.048,0.411,1.073,0.209,0.209,0.209,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.032,0.177,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.013,0.0,0.0,0.222,0.222,0.222
NSH,2009,NSH,2009030162,NSH,CHI,AWAY,20100418,Team Level,other,0.8874,0.6,0.6667,273.0,4.735,1.962,0.225,0.456,0.144,1.801,1.412,1.784,1.962,1.784,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.012,0.198,1.753,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.098,0.0,0.0,2.061,2.061,1.875,2.164,0.249,0.142,0.441,0.081,1.353,0.735,0.229,0.249,0.229,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.065,0.184,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.049,0.0,0.0,0.298,0.298,0.274
NSH,2009,NSH,2009030162,NSH,CHI,AWAY,20100418,Team Level,all,0.5441,0.46,0.4286,3600.0,23.509,2.83,1.652,4.533,0.733,13.82,9.432,2.636,2.858,2.663,23.0,10.0,13.0,46.0,0.0,1.0,0.0,4.0,0.0,15.0,13.0,23.0,33.0,6.0,12.0,30.0,28.0,1.0,3.0,25.0,4.0,4.0,0.545,0.532,1.753,0.0,0.0,0.0,45.932,33.0,32.985,0.0,0.404,0.124,0.124,3.109,3.137,2.946,31.441,2.371,1.997,7.412,1.033,18.312,12.875,2.304,2.354,2.289,33.0,11.0,10.0,54.0,2.0,2.0,0.0,16.0,1.0,12.0,11.0,31.0,42.0,6.0,12.0,32.0,32.0,20.0,11.0,37.0,6.0,1.0,1.132,0.695,0.544,0.0,2.0,0.0,53.97,44.0,44.08,6.0,0.448,0.574,0.574,2.245,2.225,2.165
NSH,2009,NSH,2009030162,NSH,CHI,AWAY,20100418,Team Level,5on5,0.4203,0.4127,0.3333,2424.0,11.426,0.78,0.824,2.532,0.347,6.694,4.823,0.764,0.808,0.792,12.0,4.0,10.0,26.0,0.0,1.0,0.0,1.0,0.0,8.0,6.0,12.0,16.0,5.0,10.0,19.0,24.0,1.0,1.0,13.0,3.0,0.0,0.445,0.335,0.0,0.0,0.0,0.0,25.932,16.0,15.985,0.0,0.167,0.124,0.124,0.822,0.849,0.845,22.871,1.076,1.309,5.718,0.713,13.206,9.977,1.061,1.059,1.045,23.0,9.0,5.0,37.0,1.0,1.0,0.0,13.0,1.0,8.0,8.0,22.0,31.0,6.0,12.0,21.0,28.0,15.0,7.0,30.0,2.0,0.0,0.832,0.243,0.0,0.0,1.0,0.0,36.97,32.0,32.08,6.0,0.268,0.03,0.03,1.313,1.293,1.275
NSH,2009,NSH,2009030162,NSH,CHI,AWAY,20100418,Team Level,4on5,0.0172,0.0833,0.1111,423.0,0.682,0.018,0.029,0.077,0.016,0.232,0.628,0.018,0.018,0.018,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.025,0.025,0.025,5.649,1.028,0.522,1.17,0.224,3.476,1.58,0.997,1.028,0.997,7.0,1.0,3.0,11.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,6.0,7.0,0.0,0.0,2.0,1.0,0.0,3.0,5.0,2.0,1.0,0.216,0.268,0.544,0.0,1.0,0.0,11.0,8.0,8.0,0.0,0.125,0.544,0.544,0.61,0.61,0.593
NSH,2009,NSH,2009030162,NSH,CHI,AWAY,20100418,Team Level,5on4,0.7955,0.8667,0.9091,480.0,6.667,0.07,0.574,1.468,0.226,5.093,2.569,0.07,0.07,0.07,7.0,3.0,3.0,13.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,7.0,10.0,0.0,0.0,5.0,1.0,0.0,2.0,10.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,13.0,10.0,10.0,0.0,0.132,0.0,0.0,0.202,0.202,0.201,0.757,0.018,0.024,0.083,0.014,0.278,0.583,0.018,0.018,0.018,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.005,0.0,0.0,0.023,0.023,0.023
