team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
OTT,2009,OTT,2009030141,OTT,PIT,AWAY,20100414,Team Level,other,0.5152,0.5,0.6667,195.0,1.553,0.051,0.058,0.516,0.051,0.596,0.728,0.051,0.051,0.051,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.014,0.0,0.0,0.065,0.065,0.065,0.739,0.048,0.055,0.164,0.024,0.516,0.193,0.048,0.048,0.048,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.014,0.0,0.0,0.063,0.063,0.063
OTT,2009,OTT,2009030141,OTT,PIT,AWAY,20100414,Team Level,all,0.6419,0.4536,0.4853,3600.0,24.441,2.762,1.461,5.504,0.704,13.127,9.443,2.739,2.879,2.854,26.0,7.0,11.0,44.0,5.0,2.0,2.0,2.0,0.0,7.0,17.0,21.0,28.0,5.0,10.0,34.0,34.0,2.0,2.0,26.0,4.0,3.0,0.6,0.535,1.628,1.0,1.0,3.0,47.234,33.0,35.081,1.0,0.333,0.465,0.465,2.63,2.739,2.722,24.551,1.541,1.49,5.28,0.796,14.484,11.408,1.517,1.459,1.436,21.0,14.0,18.0,53.0,4.0,0.0,0.0,4.0,3.0,10.0,14.0,17.0,31.0,4.0,8.0,24.0,38.0,4.0,8.0,28.0,7.0,0.0,0.787,0.754,0.0,4.0,0.0,0.0,49.379,35.0,32.413,1.0,0.322,0.0,0.0,1.863,1.763,1.734
OTT,2009,OTT,2009030141,OTT,PIT,AWAY,20100414,Team Level,5on5,0.5899,0.48,0.4906,2728.0,18.999,1.407,1.152,4.522,0.553,10.58,7.787,1.389,1.523,1.504,21.0,5.0,10.0,36.0,3.0,2.0,2.0,1.0,0.0,5.0,15.0,18.0,23.0,5.0,10.0,28.0,31.0,1.0,1.0,21.0,4.0,1.0,0.518,0.535,0.353,1.0,1.0,1.0,39.234,26.0,28.081,1.0,0.241,0.465,0.465,1.182,1.29,1.28,18.931,0.978,1.056,4.274,0.611,10.849,9.232,0.976,0.896,0.895,15.0,12.0,12.0,39.0,2.0,0.0,0.0,4.0,2.0,7.0,12.0,13.0,25.0,4.0,8.0,15.0,34.0,3.0,5.0,23.0,4.0,0.0,0.544,0.434,0.0,2.0,0.0,0.0,35.379,27.0,24.413,1.0,0.216,0.0,0.0,1.194,1.094,1.092
OTT,2009,OTT,2009030141,OTT,PIT,AWAY,20100414,Team Level,4on5,0.0,0.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.139,0.478,0.35,0.728,0.137,2.874,1.433,0.457,0.478,0.457,4.0,2.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,3.0,0.0,0.157,0.321,0.0,2.0,0.0,0.0,10.0,6.0,6.0,0.0,0.085,0.0,0.0,0.563,0.563,0.537
OTT,2009,OTT,2009030141,OTT,PIT,AWAY,20100414,Team Level,5on4,0.9732,0.75,0.8333,291.0,3.889,1.305,0.251,0.466,0.1,1.951,0.928,1.299,1.305,1.299,4.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,2.0,0.031,0.0,1.274,0.0,0.0,2.0,6.0,5.0,5.0,0.0,0.078,0.0,0.0,1.383,1.383,1.377,0.742,0.036,0.029,0.114,0.025,0.245,0.551,0.036,0.036,0.036,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.006,0.0,0.0,0.043,0.043,0.043
OTT,2009,OTT,2009030142,OTT,PIT,AWAY,20100416,Team Level,other,0.2288,0.5,0.25,193.0,0.696,0.035,0.033,0.154,0.02,0.331,0.427,0.035,0.035,0.035,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.008,0.0,0.0,0.043,0.043,0.043,2.008,0.118,0.15,0.375,0.06,1.264,1.033,0.117,0.118,0.117,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.041,0.0,0.0,0.159,0.159,0.158
OTT,2009,OTT,2009030142,OTT,PIT,AWAY,20100416,Team Level,all,0.1981,0.3714,0.3117,3600.0,17.476,0.723,0.926,4.619,0.554,9.591,7.587,0.714,0.759,0.75,20.0,4.0,15.0,39.0,1.0,1.0,0.0,3.0,1.0,8.0,10.0,19.0,23.0,4.0,11.0,22.0,31.0,1.0,6.0,22.0,2.0,0.0,0.461,0.261,0.0,1.0,0.0,0.0,40.443,24.0,24.951,2.0,0.202,0.178,0.178,0.746,0.783,0.781,37.068,2.926,2.678,8.808,1.228,21.564,15.796,2.845,2.8,2.724,31.0,22.0,13.0,66.0,2.0,3.0,1.0,3.0,4.0,17.0,24.0,29.0,51.0,4.0,11.0,28.0,52.0,3.0,7.0,46.0,5.0,2.0,1.577,0.742,0.608,1.0,0.0,1.0,63.823,53.0,51.371,2.0,0.563,0.753,0.753,2.736,2.621,2.573
OTT,2009,OTT,2009030142,OTT,PIT,AWAY,20100416,Team Level,5on5,0.201,0.3696,0.3235,2974.0,15.91,0.669,0.835,4.271,0.493,8.774,6.958,0.66,0.705,0.696,18.0,4.0,12.0,34.0,1.0,1.0,0.0,3.0,1.0,7.0,9.0,17.0,21.0,3.0,9.0,17.0,30.0,1.0,4.0,20.0,2.0,0.0,0.407,0.261,0.0,1.0,0.0,0.0,35.443,22.0,22.951,1.0,0.169,0.178,0.178,0.66,0.697,0.695,32.288,2.66,2.333,7.852,1.09,18.55,13.516,2.581,2.533,2.46,30.0,16.0,12.0,58.0,2.0,3.0,1.0,3.0,4.0,14.0,20.0,28.0,44.0,4.0,11.0,21.0,50.0,2.0,6.0,39.0,5.0,2.0,1.31,0.742,0.608,1.0,0.0,1.0,55.823,46.0,44.371,2.0,0.476,0.753,0.753,2.383,2.267,2.223
OTT,2009,OTT,2009030142,OTT,PIT,AWAY,20100416,Team Level,4on5,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.113,0.134,0.17,0.477,0.06,1.47,0.689,0.132,0.134,0.132,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.041,0.0,0.0,0.174,0.174,0.171
OTT,2009,OTT,2009030142,OTT,PIT,AWAY,20100416,Team Level,5on4,0.5588,0.6667,0.5,240.0,0.87,0.019,0.059,0.195,0.04,0.486,0.201,0.019,0.019,0.019,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.024,0.0,0.0,0.043,0.043,0.043,0.659,0.015,0.025,0.104,0.018,0.28,0.558,0.015,0.015,0.015,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.021,0.021,0.021
