team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2008,PIT,2008030141,PIT,PHI,HOME,20090415,Team Level,other,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735,0.053,0.051,0.085,0.021,0.558,0.232,0.053,0.053,0.053,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.017,0.0,0.0,0.07,0.07,0.07
PIT,2008,PIT,2008030141,PIT,PHI,HOME,20090415,Team Level,all,0.5431,0.4872,0.4938,3600.0,29.428,2.572,2.202,6.661,0.919,16.464,11.183,2.509,2.582,2.52,33.0,7.0,17.0,57.0,4.0,1.0,1.0,8.0,0.0,16.0,11.0,29.0,36.0,6.0,15.0,38.0,30.0,7.0,1.0,29.0,9.0,2.0,1.037,1.061,0.474,2.0,1.0,1.0,59.396,40.0,41.125,1.0,0.483,0.241,0.241,2.813,2.827,2.774,30.135,2.164,2.0,7.204,0.975,16.159,12.498,2.102,2.151,2.09,27.0,14.0,19.0,60.0,1.0,4.0,1.0,7.0,2.0,12.0,15.0,26.0,40.0,11.0,25.0,21.0,37.0,0.0,6.0,36.0,4.0,1.0,0.868,0.459,0.837,0.0,0.0,1.0,57.368,41.0,40.09,2.0,0.465,0.992,0.992,1.637,1.625,1.616
PIT,2008,PIT,2008030141,PIT,PHI,HOME,20090415,Team Level,5on5,0.6017,0.4884,0.5536,2564.0,23.011,1.662,1.551,5.515,0.69,12.652,8.93,1.65,1.672,1.66,27.0,4.0,11.0,42.0,3.0,0.0,0.0,8.0,0.0,12.0,8.0,24.0,28.0,5.0,10.0,26.0,28.0,6.0,0.0,26.0,4.0,1.0,0.861,0.569,0.232,2.0,1.0,0.0,44.396,31.0,32.125,0.0,0.324,0.0,0.0,1.985,1.999,1.983,17.951,1.1,1.101,4.329,0.59,9.641,8.24,1.087,1.087,1.075,16.0,9.0,19.0,44.0,0.0,1.0,0.0,5.0,2.0,8.0,9.0,16.0,25.0,9.0,18.0,13.0,30.0,0.0,4.0,21.0,4.0,0.0,0.64,0.459,0.0,0.0,0.0,0.0,41.368,25.0,24.09,2.0,0.223,0.115,0.115,1.208,1.196,1.193
PIT,2008,PIT,2008030141,PIT,PHI,HOME,20090415,Team Level,4on5,0.0756,0.0714,0.0714,391.0,0.731,0.078,0.032,0.093,0.023,0.18,0.594,0.078,0.078,0.078,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.085,0.085,0.085,10.126,0.954,0.785,2.601,0.328,5.481,2.851,0.905,0.954,0.905,9.0,4.0,0.0,13.0,1.0,3.0,1.0,2.0,0.0,3.0,4.0,8.0,12.0,0.0,0.0,3.0,2.0,0.0,2.0,12.0,0.0,1.0,0.117,0.0,0.837,0.0,0.0,1.0,13.0,13.0,13.0,0.0,0.209,0.877,0.877,0.286,0.286,0.281
PIT,2008,PIT,2008030141,PIT,PHI,HOME,20090415,Team Level,5on4,0.9348,0.875,0.8,615.0,5.686,0.832,0.619,1.054,0.206,3.631,1.659,0.781,0.832,0.781,5.0,3.0,6.0,14.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,4.0,7.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,5.0,1.0,0.098,0.492,0.241,0.0,0.0,1.0,14.0,8.0,8.0,1.0,0.152,0.241,0.241,0.742,0.742,0.705,1.322,0.058,0.064,0.188,0.036,0.479,1.175,0.058,0.058,0.058,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.016,0.0,0.0,0.073,0.073,0.073
PIT,2008,PIT,2008030142,PIT,PHI,HOME,20090417,Team Level,other,0.6909,0.7143,0.6,190.0,2.242,0.304,0.194,0.392,0.073,1.444,0.593,0.304,0.304,0.304,3.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.122,0.182,0.0,0.0,1.0,0.0,5.0,3.0,3.0,1.0,0.056,0.0,0.0,0.359,0.359,0.359,1.492,0.136,0.061,0.369,0.046,0.635,0.752,0.136,0.136,0.136,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.037,0.099,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.015,0.0,0.0,0.151,0.151,0.151
PIT,2008,PIT,2008030142,PIT,PHI,HOME,20090417,Team Level,all,0.5195,0.5232,0.5424,4709.0,45.168,3.455,3.098,10.119,1.479,25.606,20.244,3.321,3.276,3.148,49.0,15.0,15.0,79.0,3.0,4.0,0.0,15.0,0.0,24.0,18.0,46.0,61.0,4.0,8.0,42.0,50.0,3.0,10.0,52.0,10.0,2.0,1.631,1.25,0.574,0.0,3.0,0.0,74.93,64.0,60.746,5.0,0.663,0.67,0.67,3.448,3.282,3.187,39.483,3.196,2.33,9.434,1.285,20.446,17.308,3.096,3.374,3.268,40.0,14.0,18.0,72.0,2.0,2.0,0.0,8.0,3.0,17.0,22.0,38.0,52.0,5.0,10.0,36.0,29.0,1.0,2.0,44.0,7.0,3.0,1.183,0.794,1.219,1.0,0.0,1.0,76.068,54.0,57.111,2.0,0.509,0.592,0.592,3.112,3.276,3.185
PIT,2008,PIT,2008030142,PIT,PHI,HOME,20090417,Team Level,5on5,0.5349,0.5038,0.5347,4100.0,38.244,2.739,2.559,9.005,1.236,21.463,16.998,2.657,2.561,2.484,39.0,15.0,12.0,66.0,1.0,4.0,0.0,14.0,0.0,20.0,15.0,38.0,53.0,3.0,6.0,34.0,49.0,3.0,8.0,45.0,7.0,2.0,1.335,0.83,0.574,0.0,1.0,0.0,61.93,54.0,50.746,4.0,0.522,0.67,0.67,2.592,2.426,2.39,34.484,2.382,1.965,8.477,1.132,17.535,15.509,2.3,2.56,2.472,33.0,14.0,18.0,65.0,1.0,2.0,0.0,7.0,3.0,14.0,20.0,32.0,46.0,3.0,6.0,28.0,28.0,1.0,2.0,39.0,6.0,2.0,1.095,0.695,0.592,1.0,0.0,0.0,69.068,47.0,50.111,2.0,0.403,0.592,0.592,2.193,2.357,2.309
PIT,2008,PIT,2008030142,PIT,PHI,HOME,20090417,Team Level,4on5,0.0342,0.2857,0.2857,244.0,1.487,0.024,0.037,0.185,0.042,0.431,1.282,0.024,0.024,0.024,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.009,0.0,0.0,0.033,0.033,0.033,3.507,0.678,0.305,0.588,0.106,2.276,1.047,0.659,0.678,0.659,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,0.051,0.0,0.627,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.09,0.0,0.0,0.768,0.768,0.725
PIT,2008,PIT,2008030142,PIT,PHI,HOME,20090417,Team Level,5on4,1.0,1.0,1.0,175.0,3.194,0.388,0.308,0.537,0.128,2.268,1.37,0.337,0.388,0.337,5.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.15,0.238,0.0,0.0,1.0,0.0,6.0,5.0,5.0,0.0,0.075,0.0,0.0,0.463,0.463,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
