team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TBL,2010,TBL,2010030141,TBL,PIT,AWAY,20110413,Team Level,other,0.4142,0.4118,0.3571,325.0,3.62,0.635,0.202,0.832,0.125,1.823,1.383,0.628,0.635,0.628,5.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.121,0.194,0.32,0.0,0.0,0.0,7.0,5.0,5.0,0.0,0.055,0.32,0.32,0.371,0.371,0.37,6.084,0.898,0.358,1.323,0.221,3.314,2.886,0.878,0.898,0.878,6.0,3.0,1.0,10.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,2.0,1.0,0.196,0.248,0.455,0.0,0.0,1.0,10.0,9.0,9.0,0.0,0.097,0.462,0.0,0.995,0.995,0.971
TBL,2010,TBL,2010030141,TBL,PIT,AWAY,20110413,Team Level,all,0.3735,0.4296,0.45,3600.0,31.733,2.023,2.09,7.964,1.073,17.671,14.179,1.978,2.061,2.015,32.0,13.0,13.0,58.0,0.0,7.0,0.0,3.0,2.0,17.0,16.0,32.0,45.0,7.0,14.0,28.0,44.0,0.0,1.0,41.0,2.0,2.0,1.081,0.322,0.62,0.0,0.0,0.0,57.543,45.0,44.848,1.0,0.464,0.844,0.844,1.643,1.668,1.648,38.443,3.393,2.536,9.67,1.349,22.441,15.611,3.186,3.352,3.145,40.0,15.0,22.0,77.0,3.0,3.0,0.0,4.0,1.0,21.0,23.0,37.0,52.0,3.0,6.0,32.0,35.0,2.0,3.0,45.0,7.0,3.0,1.41,0.757,1.226,1.0,1.0,1.0,75.998,55.0,54.275,1.0,0.575,0.835,0.835,3.134,3.084,3.013
TBL,2010,TBL,2010030141,TBL,PIT,AWAY,20110413,Team Level,5on5,0.5346,0.4632,0.5147,2649.0,24.259,1.306,1.439,6.001,0.805,14.016,11.433,1.268,1.344,1.306,23.0,12.0,9.0,44.0,0.0,4.0,0.0,3.0,2.0,13.0,13.0,23.0,35.0,5.0,10.0,20.0,42.0,0.0,1.0,33.0,1.0,1.0,0.878,0.128,0.3,0.0,0.0,0.0,43.543,35.0,34.848,1.0,0.294,0.491,0.491,1.108,1.133,1.115,23.041,1.137,1.406,6.212,0.822,13.397,10.026,1.126,1.095,1.084,25.0,8.0,18.0,51.0,2.0,1.0,0.0,1.0,1.0,11.0,17.0,23.0,31.0,2.0,4.0,20.0,32.0,1.0,3.0,29.0,4.0,0.0,0.755,0.381,0.0,1.0,1.0,0.0,49.998,33.0,32.275,1.0,0.284,0.064,0.064,1.357,1.308,1.296
TBL,2010,TBL,2010030141,TBL,PIT,AWAY,20110413,Team Level,4on5,0.0307,0.1111,0.0714,495.0,0.673,0.043,0.037,0.07,0.016,0.242,0.592,0.043,0.043,0.043,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.009,0.0,0.0,0.052,0.052,0.052,9.317,1.358,0.772,2.135,0.305,5.73,2.699,1.183,1.358,1.183,9.0,4.0,3.0,16.0,0.0,1.0,0.0,2.0,0.0,7.0,3.0,9.0,13.0,1.0,2.0,6.0,1.0,1.0,0.0,10.0,1.0,2.0,0.459,0.128,0.771,0.0,0.0,0.0,16.0,13.0,13.0,0.0,0.194,0.31,0.771,0.781,0.781,0.746
TBL,2010,TBL,2010030141,TBL,PIT,AWAY,20110413,Team Level,5on4,1.0,1.0,1.0,131.0,3.181,0.039,0.412,1.062,0.127,1.589,0.771,0.039,0.039,0.039,3.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.107,0.033,0.033,0.113,0.113,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBL,2010,TBL,2010030142,TBL,PIT,AWAY,20110415,Team Level,other,0.641,0.3077,0.2727,214.0,1.939,0.566,0.075,0.337,0.067,0.89,1.064,0.566,0.566,0.566,2.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.066,0.0,0.5,1.0,0.0,1.0,4.0,3.0,3.0,0.0,0.019,0.0,0.0,0.585,0.585,0.585,5.34,0.317,0.461,1.332,0.231,3.65,2.008,0.304,0.317,0.304,7.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0,7.0,1.0,0.0,0.237,0.08,0.0,0.0,0.0,0.0,9.0,8.0,8.0,0.0,0.109,0.0,0.01,0.416,0.416,0.398
TBL,2010,TBL,2010030142,TBL,PIT,AWAY,20110415,Team Level,all,0.5856,0.3654,0.3418,3600.0,19.946,3.286,1.212,4.431,0.683,9.404,7.984,3.265,3.482,3.459,21.0,6.0,11.0,38.0,5.0,2.0,1.0,4.0,1.0,6.0,9.0,16.0,22.0,6.0,12.0,28.0,27.0,5.0,2.0,18.0,4.0,5.0,0.449,0.515,2.322,1.0,0.0,4.0,42.476,27.0,29.746,2.0,0.284,0.337,0.337,3.233,3.405,3.393,37.103,2.325,2.585,8.793,1.23,21.96,15.107,2.286,2.172,2.134,36.0,16.0,14.0,66.0,1.0,1.0,0.0,7.0,2.0,20.0,21.0,35.0,51.0,6.0,12.0,31.0,36.0,2.0,8.0,44.0,8.0,0.0,1.32,1.004,0.0,0.0,1.0,0.0,59.893,52.0,47.986,4.0,0.572,0.128,0.138,2.759,2.585,2.538
TBL,2010,TBL,2010030142,TBL,PIT,AWAY,20110415,Team Level,5on5,0.4808,0.3429,0.3396,2462.0,13.398,1.364,0.875,3.37,0.515,6.662,5.214,1.347,1.561,1.541,14.0,4.0,6.0,24.0,1.0,2.0,1.0,4.0,1.0,3.0,7.0,13.0,17.0,5.0,10.0,19.0,22.0,3.0,2.0,12.0,4.0,2.0,0.297,0.515,0.552,0.0,0.0,1.0,28.476,18.0,20.746,2.0,0.185,0.337,0.337,1.213,1.385,1.377,25.096,1.473,1.592,6.159,0.787,14.223,10.767,1.464,1.32,1.313,24.0,11.0,11.0,46.0,1.0,1.0,0.0,5.0,1.0,17.0,10.0,23.0,34.0,3.0,6.0,19.0,30.0,2.0,3.0,30.0,5.0,0.0,0.761,0.711,0.0,0.0,1.0,0.0,39.893,35.0,30.986,2.0,0.323,0.128,0.128,1.668,1.494,1.488
TBL,2010,TBL,2010030142,TBL,PIT,AWAY,20110415,Team Level,4on5,0.1287,0.2143,0.1818,588.0,1.471,0.079,0.076,0.281,0.045,0.478,1.041,0.078,0.079,0.078,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.017,0.0,0.0,0.096,0.096,0.094,6.667,0.535,0.532,1.301,0.212,4.088,2.332,0.518,0.535,0.518,5.0,4.0,2.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,5.0,9.0,2.0,4.0,6.0,3.0,0.0,4.0,7.0,2.0,0.0,0.322,0.213,0.0,0.0,0.0,0.0,11.0,9.0,9.0,1.0,0.14,0.0,0.0,0.675,0.675,0.652
TBL,2010,TBL,2010030142,TBL,PIT,AWAY,20110415,Team Level,5on4,1.0,1.0,1.0,336.0,3.139,1.276,0.186,0.443,0.056,1.373,0.665,1.274,1.276,1.274,3.0,1.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.006,0.0,1.27,0.0,0.0,2.0,7.0,4.0,4.0,0.0,0.063,0.0,0.0,1.339,1.339,1.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
