team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TOR,2012,TOR,2012030141,TOR,BOS,AWAY,20130501,Team Level,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR,2012,TOR,2012030141,TOR,BOS,AWAY,20130501,Team Level,all,0.3019,0.3173,0.3125,3600.0,17.978,1.888,1.111,3.775,0.596,9.861,7.77,1.872,1.875,1.859,20.0,5.0,8.0,33.0,1.0,1.0,1.0,5.0,0.0,9.0,9.0,19.0,24.0,6.0,12.0,29.0,37.0,3.0,9.0,19.0,5.0,1.0,0.376,0.596,0.916,0.0,0.0,1.0,31.823,25.0,24.53,6.0,0.247,0.916,0.916,1.219,1.205,1.205,40.866,4.365,2.659,9.05,1.287,21.511,16.128,4.171,4.353,4.16,40.0,15.0,16.0,71.0,4.0,2.0,0.0,8.0,3.0,20.0,18.0,36.0,51.0,4.0,8.0,25.0,30.0,6.0,9.0,34.0,17.0,4.0,0.976,2.043,1.346,2.0,1.0,1.0,72.703,55.0,55.298,1.0,0.593,0.876,0.876,4.081,4.066,3.955
TOR,2012,TOR,2012030141,TOR,BOS,AWAY,20130501,Team Level,5on5,0.3075,0.3378,0.3455,2754.0,13.465,0.896,0.784,3.137,0.442,7.53,6.211,0.896,0.883,0.883,16.0,3.0,6.0,25.0,0.0,0.0,0.0,5.0,0.0,8.0,6.0,16.0,19.0,6.0,12.0,21.0,33.0,2.0,7.0,14.0,5.0,0.0,0.3,0.596,0.0,0.0,0.0,0.0,23.823,19.0,18.53,5.0,0.162,0.0,0.0,1.057,1.043,1.043,26.458,2.018,1.557,6.378,0.841,14.029,11.177,1.98,2.006,1.969,25.0,11.0,13.0,49.0,3.0,0.0,0.0,4.0,3.0,14.0,12.0,22.0,33.0,4.0,8.0,14.0,28.0,5.0,7.0,26.0,9.0,1.0,0.666,1.137,0.215,2.0,1.0,0.0,50.703,36.0,36.298,1.0,0.32,0.0,0.0,2.338,2.322,2.281
TOR,2012,TOR,2012030141,TOR,BOS,AWAY,20130501,Team Level,4on5,0.005,0.0952,0.0556,593.0,0.71,0.011,0.019,0.127,0.019,0.243,0.581,0.011,0.011,0.011,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,4.0,1.0,1.0,1.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.005,0.0,0.0,0.017,0.017,0.017,12.824,2.181,1.024,2.438,0.405,7.026,3.926,2.025,2.181,2.025,14.0,3.0,2.0,19.0,1.0,2.0,0.0,4.0,0.0,6.0,4.0,13.0,16.0,0.0,0.0,9.0,0.0,0.0,2.0,7.0,7.0,3.0,0.284,0.766,1.131,0.0,0.0,1.0,19.0,17.0,17.0,0.0,0.256,0.876,0.876,1.561,1.561,1.491
TOR,2012,TOR,2012030141,TOR,BOS,AWAY,20130501,Team Level,5on4,0.856,0.6667,0.7143,253.0,3.803,0.981,0.308,0.511,0.135,2.088,0.978,0.965,0.981,0.965,4.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.065,0.0,0.916,0.0,0.0,1.0,6.0,5.0,5.0,0.0,0.08,0.916,0.916,0.145,0.145,0.145,1.584,0.165,0.078,0.234,0.041,0.457,1.025,0.165,0.165,0.165,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.026,0.139,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.017,0.0,0.0,0.183,0.183,0.183
TOR,2012,TOR,2012030142,TOR,BOS,AWAY,20130504,Team Level,other,0.1171,0.1667,0.2,215.0,0.687,0.024,0.035,0.179,0.019,0.357,0.386,0.024,0.024,0.024,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.009,0.0,0.0,0.033,0.033,0.033,2.742,0.181,0.202,0.543,0.079,1.821,1.174,0.179,0.181,0.179,4.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,1.0,0.0,0.091,0.09,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.05,0.0,0.0,0.231,0.231,0.228
TOR,2012,TOR,2012030142,TOR,BOS,AWAY,20130504,Team Level,all,0.5818,0.4309,0.4301,3600.0,30.347,3.822,2.124,7.426,1.103,14.624,10.902,3.635,4.028,3.827,32.0,8.0,13.0,53.0,4.0,6.0,1.0,6.0,1.0,8.0,15.0,28.0,36.0,2.0,7.0,27.0,44.0,4.0,11.0,24.0,12.0,4.0,0.62,1.523,1.679,1.0,1.0,2.0,55.846,40.0,41.956,3.0,0.465,1.741,1.741,2.546,2.715,2.684,39.049,2.747,2.118,9.51,1.268,20.094,17.262,2.668,2.612,2.533,41.0,12.0,17.0,70.0,2.0,2.0,2.0,11.0,2.0,14.0,22.0,39.0,51.0,5.0,13.0,49.0,35.0,4.0,4.0,42.0,9.0,2.0,1.108,1.086,0.552,1.0,0.0,1.0,66.303,53.0,50.44,0.0,0.448,0.351,0.351,2.844,2.688,2.678
TOR,2012,TOR,2012030142,TOR,BOS,AWAY,20130504,Team Level,5on5,0.5351,0.4352,0.4375,3009.0,26.625,2.877,1.884,6.78,1.0,12.882,9.577,2.7,3.082,2.891,27.0,8.0,12.0,47.0,3.0,5.0,0.0,4.0,1.0,8.0,14.0,24.0,32.0,2.0,7.0,22.0,44.0,4.0,7.0,20.0,12.0,3.0,0.568,1.523,0.785,1.0,1.0,1.0,49.846,35.0,36.956,2.0,0.399,0.847,0.847,2.428,2.598,2.567,33.332,2.5,1.834,8.532,1.086,17.361,13.687,2.422,2.364,2.287,33.0,12.0,16.0,61.0,2.0,2.0,2.0,9.0,2.0,12.0,18.0,31.0,43.0,4.0,11.0,39.0,32.0,2.0,4.0,35.0,8.0,2.0,0.951,0.996,0.552,1.0,0.0,1.0,57.303,45.0,42.44,0.0,0.375,0.351,0.351,2.523,2.368,2.361
TOR,2012,TOR,2012030142,TOR,BOS,AWAY,20130504,Team Level,4on5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR,2012,TOR,2012030142,TOR,BOS,AWAY,20130504,Team Level,5on4,0.9322,0.5556,0.5,367.0,3.035,0.921,0.204,0.467,0.083,1.385,0.939,0.911,0.921,0.911,4.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.027,0.0,0.894,0.0,0.0,1.0,5.0,4.0,4.0,0.0,0.057,0.894,0.894,0.085,0.085,0.085,2.975,0.067,0.081,0.435,0.103,0.913,2.402,0.066,0.067,0.066,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,4.0,1.0,2.0,0.0,4.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.023,0.0,0.0,0.09,0.09,0.089
