team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VAN,2008,VAN,2008030171,VAN,STL,HOME,20090415,Team Level,other,0.4171,0.2353,0.3636,368.0,3.012,0.181,0.163,0.615,0.085,1.666,1.29,0.181,0.181,0.181,3.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.079,0.102,0.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,0.039,0.0,0.0,0.22,0.22,0.22,4.939,0.253,0.551,0.849,0.183,3.94,1.223,0.249,0.253,0.249,3.0,4.0,6.0,13.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,7.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,1.0,0.0,0.15,0.103,0.0,0.0,0.0,0.0,13.0,7.0,7.0,1.0,0.19,0.0,0.0,0.443,0.443,0.435
VAN,2008,VAN,2008030171,VAN,STL,HOME,20090415,Team Level,all,0.5694,0.5052,0.52,3600.0,27.512,2.171,1.943,6.24,0.984,15.805,11.856,2.132,2.168,2.129,31.0,8.0,10.0,49.0,2.0,4.0,0.0,5.0,1.0,13.0,14.0,29.0,37.0,8.0,16.0,35.0,25.0,9.0,3.0,30.0,7.0,2.0,0.791,0.883,0.497,1.0,1.0,0.0,49.796,39.0,39.94,1.0,0.425,0.682,0.682,1.914,1.911,1.884,26.089,1.642,1.526,5.262,0.765,14.45,12.356,1.63,1.644,1.632,26.0,10.0,12.0,48.0,1.0,1.0,1.0,7.0,1.0,11.0,15.0,25.0,35.0,7.0,14.0,31.0,23.0,4.0,3.0,34.0,1.0,1.0,0.663,0.103,0.877,0.0,0.0,1.0,47.668,36.0,35.597,2.0,0.405,0.877,0.877,1.171,1.173,1.165
VAN,2008,VAN,2008030171,VAN,STL,HOME,20090415,Team Level,5on5,0.7943,0.6296,0.6279,2077.0,18.498,1.263,1.133,4.52,0.724,10.838,8.522,1.234,1.261,1.231,21.0,6.0,7.0,34.0,0.0,3.0,0.0,5.0,1.0,9.0,9.0,21.0,27.0,5.0,10.0,22.0,22.0,5.0,0.0,23.0,2.0,2.0,0.515,0.252,0.497,0.0,0.0,0.0,34.796,27.0,27.94,0.0,0.232,0.643,0.643,0.853,0.85,0.832,11.518,0.327,0.486,2.745,0.343,5.642,6.457,0.327,0.329,0.329,12.0,4.0,4.0,20.0,0.0,0.0,0.0,4.0,1.0,3.0,8.0,12.0,16.0,5.0,10.0,15.0,17.0,3.0,2.0,16.0,0.0,0.0,0.327,0.0,0.0,0.0,0.0,0.0,19.668,16.0,15.597,1.0,0.096,0.0,0.0,0.423,0.425,0.425
VAN,2008,VAN,2008030171,VAN,STL,HOME,20090415,Team Level,4on5,0.0881,0.0833,0.1,518.0,0.772,0.09,0.024,0.068,0.02,0.274,0.524,0.09,0.09,0.09,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.095,0.095,0.095,6.511,0.931,0.403,1.258,0.168,4.046,2.195,0.922,0.931,0.922,7.0,2.0,2.0,11.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,6.0,8.0,1.0,2.0,4.0,1.0,0.0,0.0,8.0,0.0,1.0,0.054,0.0,0.877,0.0,0.0,1.0,11.0,9.0,9.0,0.0,0.099,0.877,0.877,0.153,0.153,0.153
VAN,2008,VAN,2008030171,VAN,STL,HOME,20090415,Team Level,5on4,0.8283,0.7143,0.6364,637.0,5.23,0.637,0.623,1.037,0.155,3.027,1.521,0.627,0.637,0.627,6.0,1.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,5.0,6.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,0.0,0.198,0.439,0.0,1.0,0.0,0.0,10.0,7.0,7.0,0.0,0.149,0.04,0.04,0.746,0.746,0.738,3.122,0.132,0.086,0.409,0.07,0.822,2.481,0.132,0.132,0.132,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,9.0,4.0,0.0,0.0,4.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.02,0.0,0.0,0.152,0.152,0.152
VAN,2008,VAN,2008030172,VAN,STL,HOME,20090417,Team Level,other,0.915,0.75,0.6667,74.0,1.205,0.689,0.06,0.111,0.044,0.504,0.592,0.689,0.689,0.689,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.114,0.574,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.016,0.0,0.0,0.704,0.704,0.704,0.666,0.064,0.062,0.127,0.02,0.537,0.191,0.064,0.064,0.064,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.021,0.0,0.0,0.085,0.085,0.085
VAN,2008,VAN,2008030172,VAN,STL,HOME,20090417,Team Level,all,0.6447,0.5214,0.5176,3600.0,29.267,3.384,2.168,6.151,1.061,18.422,12.814,3.345,3.331,3.293,27.0,17.0,17.0,61.0,3.0,1.0,0.0,5.0,1.0,17.0,17.0,24.0,41.0,4.0,8.0,26.0,25.0,5.0,7.0,29.0,14.0,1.0,1.073,1.737,0.574,1.0,1.0,1.0,60.716,44.0,43.989,3.0,0.475,0.171,0.171,3.688,3.635,3.595,28.215,1.865,2.115,6.711,1.14,17.355,11.814,1.82,1.916,1.87,30.0,11.0,15.0,56.0,0.0,1.0,0.0,7.0,1.0,12.0,20.0,30.0,41.0,3.0,6.0,32.0,30.0,5.0,4.0,35.0,4.0,2.0,0.896,0.54,0.428,0.0,0.0,0.0,55.969,41.0,40.898,4.0,0.477,0.217,0.217,2.125,2.172,2.148
VAN,2008,VAN,2008030172,VAN,STL,HOME,20090417,Team Level,5on5,0.5352,0.525,0.5161,2652.0,21.897,1.916,1.502,4.594,0.746,13.268,9.975,1.882,1.863,1.831,21.0,11.0,10.0,42.0,2.0,1.0,0.0,3.0,1.0,11.0,14.0,19.0,30.0,4.0,8.0,16.0,21.0,4.0,4.0,23.0,9.0,0.0,0.782,1.134,0.0,1.0,1.0,0.0,41.716,32.0,31.989,2.0,0.31,0.171,0.171,2.055,2.001,1.968,20.682,1.664,1.279,5.286,0.856,12.062,8.853,1.622,1.716,1.672,23.0,7.0,8.0,38.0,0.0,1.0,0.0,7.0,0.0,6.0,16.0,23.0,30.0,2.0,4.0,24.0,26.0,5.0,2.0,24.0,4.0,2.0,0.696,0.54,0.428,0.0,0.0,0.0,37.969,30.0,29.898,2.0,0.264,0.217,0.217,1.711,1.758,1.741
VAN,2008,VAN,2008030172,VAN,STL,HOME,20090417,Team Level,4on5,0.0,0.0,0.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.143,0.112,0.752,1.181,0.243,4.535,2.178,0.11,0.112,0.11,6.0,3.0,7.0,16.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,6.0,9.0,1.0,2.0,7.0,2.0,0.0,0.0,9.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,16.0,9.0,9.0,0.0,0.187,0.0,0.0,0.299,0.299,0.292
VAN,2008,VAN,2008030172,VAN,STL,HOME,20090417,Team Level,5on4,0.9701,0.9412,0.9091,437.0,6.165,0.779,0.607,1.446,0.271,4.65,2.247,0.774,0.779,0.774,4.0,6.0,6.0,16.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,4.0,10.0,0.0,0.0,6.0,1.0,0.0,2.0,6.0,4.0,0.0,0.291,0.488,0.0,0.0,0.0,0.0,16.0,10.0,10.0,0.0,0.15,0.0,0.0,0.929,0.929,0.922,0.724,0.024,0.023,0.119,0.021,0.221,0.592,0.024,0.024,0.024,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.005,0.0,0.0,0.029,0.029,0.029
