team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2017,VGK,2017020015,VGK,DAL,AWAY,20171006,Team Level,other,0.9654,0.4615,0.7143,205.0,3.453,1.451,0.212,0.437,0.1,1.555,1.245,1.09,1.451,1.09,2.0,3.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.058,0.204,1.189,1.0,0.0,0.0,6.0,5.0,5.0,1.0,0.059,0.547,0.547,0.963,0.963,0.948,1.506,0.052,0.095,0.353,0.039,0.8,0.661,0.052,0.052,0.052,2.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.031,0.0,0.0,0.083,0.083,0.083
VGK,2017,VGK,2017020015,VGK,DAL,AWAY,20171006,Team Level,all,0.4643,0.4485,0.4184,3600.0,29.914,3.289,2.061,6.927,0.933,16.318,11.473,2.916,3.336,2.962,30.0,11.0,20.0,61.0,2.0,3.0,0.0,7.0,5.0,12.0,12.0,28.0,39.0,5.0,10.0,28.0,15.0,2.0,15.0,31.0,6.0,4.0,0.587,0.773,1.929,2.0,0.0,0.0,61.55,41.0,41.379,7.0,0.479,0.834,0.834,2.934,2.976,2.952,41.744,3.795,2.538,10.202,1.375,21.688,17.402,3.576,3.693,3.478,46.0,11.0,18.0,75.0,1.0,7.0,0.0,9.0,1.0,21.0,18.0,45.0,56.0,8.0,16.0,38.0,20.0,7.0,15.0,43.0,8.0,6.0,1.221,1.025,1.549,1.0,0.0,0.0,73.825,57.0,56.188,5.0,0.557,1.505,1.505,2.846,2.774,2.689
VGK,2017,VGK,2017020015,VGK,DAL,AWAY,20171006,Team Level,5on5,0.2953,0.3563,0.3182,2210.0,15.4,1.199,1.007,3.869,0.493,8.161,6.272,1.187,1.246,1.234,19.0,2.0,10.0,31.0,1.0,2.0,0.0,5.0,2.0,5.0,6.0,18.0,20.0,4.0,8.0,19.0,15.0,0.0,10.0,16.0,4.0,1.0,0.395,0.568,0.235,1.0,0.0,0.0,31.55,21.0,21.379,5.0,0.211,0.287,0.287,1.123,1.164,1.157,33.989,2.861,1.874,8.634,1.096,16.672,13.863,2.705,2.76,2.607,35.0,10.0,11.0,56.0,0.0,6.0,0.0,9.0,1.0,16.0,13.0,35.0,45.0,7.0,14.0,24.0,16.0,4.0,8.0,34.0,6.0,5.0,0.843,0.752,1.267,0.0,0.0,0.0,54.825,45.0,44.188,3.0,0.39,1.224,1.224,2.027,1.956,1.914
VGK,2017,VGK,2017020015,VGK,DAL,AWAY,20171006,Team Level,4on5,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.949,0.881,0.559,1.206,0.229,4.206,1.919,0.818,0.881,0.818,8.0,1.0,2.0,11.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,7.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,6.0,2.0,1.0,0.325,0.274,0.282,1.0,0.0,0.0,11.0,9.0,9.0,1.0,0.134,0.282,0.282,0.733,0.733,0.688
VGK,2017,VGK,2017020015,VGK,DAL,AWAY,20171006,Team Level,5on4,0.9984,0.96,0.9375,840.0,11.06,0.639,0.841,2.622,0.34,6.602,3.956,0.639,0.639,0.639,9.0,6.0,9.0,24.0,0.0,0.0,0.0,1.0,3.0,6.0,5.0,9.0,15.0,0.0,0.0,7.0,0.0,1.0,3.0,14.0,0.0,1.0,0.134,0.0,0.505,0.0,0.0,0.0,24.0,15.0,15.0,0.0,0.209,0.0,0.0,0.849,0.849,0.847,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,9.0,4.0,2.0,1.0,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.002,0.0,0.0,0.003,0.003,0.003
VGK,2017,VGK,2017020026,VGK,ARI,AWAY,20171007,Team Level,other,0.7707,0.6111,0.6923,139.0,7.074,1.301,0.653,1.166,0.235,3.85,1.795,1.046,1.301,1.046,6.0,3.0,2.0,11.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,2.0,0.235,0.163,0.902,0.0,1.0,1.0,11.0,9.0,9.0,0.0,0.219,0.536,0.536,0.984,0.984,0.929,2.91,0.387,0.173,0.471,0.079,1.203,1.687,0.387,0.387,0.387,2.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,0.099,0.288,0.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.043,0.0,0.0,0.431,0.431,0.431
VGK,2017,VGK,2017020026,VGK,ARI,AWAY,20171007,Team Level,all,0.5332,0.5986,0.598,3826.0,44.381,3.885,3.141,10.125,1.489,24.6,17.76,3.566,3.9,3.582,42.0,19.0,24.0,85.0,2.0,5.0,1.0,10.0,3.0,20.0,21.0,40.0,59.0,3.0,6.0,37.0,27.0,3.0,11.0,49.0,7.0,5.0,1.444,0.799,1.641,0.0,1.0,1.0,83.942,61.0,59.939,5.0,0.757,0.915,0.915,3.727,3.745,3.645,27.172,3.401,1.938,5.704,0.965,16.391,12.601,3.299,3.374,3.274,28.0,13.0,16.0,57.0,1.0,3.0,1.0,7.0,0.0,15.0,15.0,27.0,40.0,4.0,8.0,24.0,23.0,5.0,11.0,25.0,13.0,3.0,1.176,1.449,0.776,0.0,0.0,1.0,57.67,41.0,41.722,4.0,0.419,0.746,0.746,3.074,3.045,2.973
VGK,2017,VGK,2017020026,VGK,ARI,AWAY,20171007,Team Level,5on5,0.4895,0.5657,0.5571,2995.0,27.74,2.379,1.791,6.995,0.932,15.281,11.624,2.317,2.394,2.332,25.0,14.0,17.0,56.0,0.0,3.0,0.0,8.0,0.0,14.0,14.0,25.0,39.0,2.0,4.0,28.0,24.0,2.0,11.0,30.0,6.0,3.0,1.004,0.636,0.739,0.0,0.0,0.0,54.942,39.0,37.939,5.0,0.371,0.357,0.357,2.393,2.411,2.369,20.662,2.481,1.395,4.444,0.719,12.329,9.632,2.419,2.455,2.393,23.0,8.0,12.0,43.0,1.0,2.0,1.0,6.0,0.0,10.0,12.0,22.0,30.0,3.0,6.0,15.0,22.0,4.0,8.0,20.0,8.0,3.0,0.928,0.777,0.776,0.0,0.0,1.0,43.67,31.0,31.722,3.0,0.289,0.568,0.568,2.202,2.174,2.14
VGK,2017,VGK,2017020026,VGK,ARI,AWAY,20171007,Team Level,4on5,0.1279,0.3,0.3333,360.0,2.403,0.078,0.052,0.312,0.068,0.626,1.864,0.078,0.078,0.078,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.012,0.0,0.0,0.09,0.09,0.09,3.6,0.532,0.369,0.79,0.167,2.86,1.282,0.493,0.532,0.493,3.0,3.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,0.149,0.383,0.0,0.0,0.0,0.0,7.0,6.0,6.0,1.0,0.087,0.179,0.179,0.441,0.441,0.402
VGK,2017,VGK,2017020026,VGK,ARI,AWAY,20171007,Team Level,5on4,1.0,1.0,1.0,332.0,7.165,0.128,0.645,1.653,0.254,4.843,2.477,0.126,0.128,0.126,8.0,2.0,5.0,15.0,0.0,1.0,0.0,2.0,2.0,4.0,1.0,8.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,0.0,0.154,0.022,0.022,0.261,0.261,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
