team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WPG,2014,WPG,2014030171,WPG,ANA,AWAY,20150416,Team Level,other,1.0,1.0,1.0,111.0,3.399,0.074,0.272,0.726,0.123,2.996,0.809,0.073,0.074,0.073,4.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.074,0.0,0.0,0.148,0.148,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WPG,2014,WPG,2014030171,WPG,ANA,AWAY,20150416,Team Level,all,0.4096,0.3853,0.4045,3600.0,25.776,1.579,1.574,6.267,0.875,15.165,10.54,1.555,1.669,1.643,27.0,9.0,6.0,42.0,2.0,1.0,0.0,7.0,1.0,12.0,13.0,25.0,34.0,3.0,6.0,24.0,37.0,7.0,13.0,29.0,6.0,1.0,0.711,0.569,0.298,1.0,1.0,0.0,43.524,36.0,37.205,7.0,0.35,0.298,0.298,1.631,1.707,1.698,38.017,2.276,2.635,9.204,1.419,21.6,15.866,2.196,2.202,2.123,33.0,20.0,14.0,67.0,4.0,2.0,1.0,6.0,0.0,26.0,15.0,29.0,49.0,3.0,6.0,40.0,46.0,5.0,9.0,47.0,5.0,1.0,1.401,0.587,0.288,2.0,1.0,1.0,64.65,53.0,51.232,6.0,0.558,0.328,0.328,2.506,2.415,2.367
WPG,2014,WPG,2014030171,WPG,ANA,AWAY,20150416,Team Level,5on5,0.4526,0.3636,0.3944,2981.0,20.133,1.379,1.17,5.044,0.674,11.27,8.463,1.356,1.469,1.444,20.0,8.0,4.0,32.0,2.0,1.0,0.0,6.0,0.0,8.0,11.0,18.0,26.0,3.0,6.0,20.0,35.0,7.0,10.0,22.0,5.0,1.0,0.6,0.481,0.298,1.0,1.0,0.0,33.524,28.0,29.205,6.0,0.242,0.298,0.298,1.323,1.399,1.391,30.963,1.668,2.013,7.7,1.212,16.987,13.42,1.608,1.594,1.535,29.0,14.0,13.0,56.0,2.0,2.0,1.0,5.0,0.0,21.0,13.0,27.0,41.0,3.0,6.0,32.0,44.0,4.0,8.0,39.0,3.0,1.0,1.0,0.38,0.288,1.0,0.0,1.0,53.65,43.0,41.232,5.0,0.41,0.328,0.328,1.751,1.659,1.636
WPG,2014,WPG,2014030171,WPG,ANA,AWAY,20150416,Team Level,4on5,0.1279,0.0833,0.0909,268.0,0.721,0.089,0.022,0.075,0.022,0.187,0.605,0.089,0.089,0.089,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.005,0.0,0.0,0.094,0.094,0.094,7.054,0.607,0.623,1.504,0.207,4.613,2.445,0.588,0.607,0.588,4.0,6.0,1.0,11.0,2.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,2.0,0.0,0.401,0.207,0.0,1.0,1.0,0.0,11.0,10.0,10.0,0.0,0.148,0.0,0.0,0.755,0.755,0.731
WPG,2014,WPG,2014030171,WPG,ANA,AWAY,20150416,Team Level,5on4,1.0,1.0,1.0,240.0,1.523,0.038,0.109,0.422,0.056,0.713,0.663,0.038,0.038,0.038,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.028,0.0,0.0,0.066,0.066,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WPG,2014,WPG,2014030172,WPG,ANA,AWAY,20150418,Team Level,other,0.1857,0.4,0.4,126.0,1.363,0.052,0.083,0.294,0.041,1.073,0.457,0.052,0.052,0.052,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.028,0.0,0.0,0.08,0.08,0.08,2.093,0.228,0.156,0.599,0.079,1.334,0.604,0.218,0.228,0.218,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.025,0.203,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.047,0.0,0.0,0.275,0.275,0.263
WPG,2014,WPG,2014030172,WPG,ANA,AWAY,20150418,Team Level,all,0.2668,0.4746,0.4316,3600.0,29.924,1.262,1.996,7.547,0.969,16.573,12.653,1.253,1.331,1.321,29.0,12.0,15.0,56.0,1.0,1.0,0.0,7.0,2.0,13.0,17.0,28.0,40.0,4.0,8.0,29.0,33.0,4.0,12.0,39.0,2.0,0.0,1.039,0.224,0.0,1.0,0.0,0.0,58.196,41.0,42.645,7.0,0.445,0.018,0.018,1.69,1.777,1.759,38.67,3.469,2.757,8.203,1.163,21.462,16.945,3.315,3.321,3.172,39.0,15.0,8.0,62.0,2.0,3.0,0.0,7.0,2.0,17.0,23.0,37.0,52.0,4.0,8.0,32.0,48.0,1.0,9.0,38.0,13.0,3.0,1.198,1.494,0.777,1.0,1.0,0.0,59.816,54.0,52.145,5.0,0.609,0.626,0.626,3.451,3.309,3.199
WPG,2014,WPG,2014030172,WPG,ANA,AWAY,20150418,Team Level,5on5,0.2979,0.4615,0.4247,2737.0,22.812,1.106,1.412,5.565,0.699,12.43,9.788,1.102,1.174,1.17,22.0,9.0,11.0,42.0,1.0,0.0,0.0,4.0,1.0,11.0,14.0,21.0,30.0,2.0,4.0,20.0,31.0,2.0,9.0,29.0,2.0,0.0,0.882,0.224,0.0,1.0,0.0,0.0,44.196,31.0,32.645,5.0,0.287,0.0,0.0,1.393,1.48,1.474,31.477,2.607,2.181,6.817,0.896,16.652,12.848,2.502,2.459,2.36,30.0,12.0,7.0,49.0,1.0,3.0,0.0,6.0,2.0,12.0,18.0,29.0,41.0,4.0,8.0,23.0,46.0,1.0,7.0,32.0,7.0,3.0,1.055,0.775,0.777,1.0,0.0,0.0,46.816,42.0,40.145,4.0,0.454,0.626,0.626,2.435,2.293,2.242
WPG,2014,WPG,2014030172,WPG,ANA,AWAY,20150418,Team Level,4on5,0.0277,0.2,0.125,316.0,0.71,0.018,0.021,0.129,0.022,0.235,0.576,0.018,0.018,0.018,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.005,0.0,0.0,0.022,0.022,0.022,4.499,0.632,0.401,0.767,0.169,3.457,1.575,0.593,0.632,0.593,5.0,2.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,6.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,4.0,0.0,0.116,0.516,0.0,0.0,1.0,0.0,8.0,7.0,7.0,0.0,0.102,0.0,0.0,0.734,0.734,0.687
WPG,2014,WPG,2014030172,WPG,ANA,AWAY,20150418,Team Level,5on4,0.9775,0.8333,0.7778,421.0,5.039,0.087,0.481,1.56,0.207,2.835,1.831,0.081,0.087,0.081,6.0,1.0,3.0,10.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,6.0,7.0,1.0,2.0,5.0,2.0,1.0,1.0,7.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,10.0,7.0,7.0,1.0,0.126,0.018,0.018,0.194,0.194,0.183,0.6,0.002,0.02,0.02,0.02,0.02,1.918,0.002,0.002,0.002,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.005,0.0,0.0,0.007,0.007,0.007
