team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WSH,2008,WSH,2008030121,WSH,NYR,HOME,20090415,Team Level,other,0.4282,0.8333,0.8,68.0,1.864,0.158,0.149,0.36,0.069,1.745,0.584,0.155,0.158,0.155,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.038,0.0,0.0,0.131,0.131,0.13,0.939,0.211,0.111,0.091,0.02,0.456,0.111,0.211,0.211,0.211,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.211,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.04,0.0,0.0,0.251,0.251,0.251
WSH,2008,WSH,2008030121,WSH,NYR,HOME,20090415,Team Level,all,0.4505,0.6,0.573,3600.0,34.497,2.311,2.431,7.985,1.059,22.119,14.16,2.26,2.242,2.192,35.0,16.0,21.0,72.0,3.0,0.0,0.0,11.0,0.0,19.0,18.0,32.0,48.0,4.0,8.0,46.0,27.0,7.0,11.0,43.0,8.0,0.0,1.559,0.752,0.0,2.0,1.0,0.0,70.167,51.0,49.572,6.0,0.536,0.0,0.0,2.782,2.697,2.639,27.156,2.819,1.799,5.722,0.848,15.441,11.371,2.785,2.912,2.878,21.0,17.0,10.0,48.0,4.0,0.0,0.0,2.0,0.0,19.0,13.0,17.0,34.0,7.0,14.0,20.0,35.0,2.0,5.0,29.0,5.0,4.0,0.727,0.52,1.572,0.0,1.0,3.0,49.18,38.0,38.936,3.0,0.416,0.0,0.0,3.235,3.342,3.3
WSH,2008,WSH,2008030121,WSH,NYR,HOME,20090415,Team Level,5on5,0.4683,0.5616,0.5439,2383.0,21.732,1.335,1.367,5.02,0.657,12.807,9.814,1.315,1.266,1.247,24.0,7.0,10.0,41.0,1.0,0.0,0.0,7.0,0.0,11.0,12.0,23.0,30.0,4.0,8.0,30.0,24.0,5.0,8.0,23.0,8.0,0.0,0.583,0.752,0.0,0.0,1.0,0.0,39.167,31.0,29.572,5.0,0.276,0.0,0.0,1.611,1.527,1.504,18.389,1.516,1.174,4.35,0.602,10.343,8.015,1.489,1.61,1.581,14.0,12.0,6.0,32.0,2.0,0.0,0.0,1.0,0.0,13.0,10.0,12.0,24.0,7.0,14.0,16.0,24.0,2.0,2.0,20.0,5.0,1.0,0.643,0.52,0.353,0.0,1.0,1.0,33.18,26.0,26.936,1.0,0.238,0.0,0.0,1.754,1.86,1.829
WSH,2008,WSH,2008030121,WSH,NYR,HOME,20090415,Team Level,4on5,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,1.062,0.459,1.103,0.19,4.155,2.031,1.055,1.062,1.055,5.0,4.0,4.0,13.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,2.0,0.054,0.0,1.008,0.0,0.0,2.0,13.0,9.0,9.0,0.0,0.124,0.0,0.0,1.186,1.186,1.175
WSH,2008,WSH,2008030121,WSH,NYR,HOME,20090415,Team Level,5on4,0.9646,0.9286,0.8889,733.0,10.901,0.818,0.915,2.605,0.333,7.567,3.762,0.79,0.818,0.79,11.0,5.0,10.0,26.0,2.0,0.0,0.0,4.0,0.0,6.0,4.0,9.0,14.0,0.0,0.0,11.0,1.0,1.0,2.0,16.0,0.0,0.0,0.818,0.0,0.0,2.0,0.0,0.0,26.0,16.0,16.0,0.0,0.222,0.0,0.0,1.04,1.04,1.005,1.398,0.03,0.055,0.178,0.035,0.488,1.213,0.03,0.03,0.03,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,8.0,0.0,2.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.014,0.0,0.0,0.045,0.045,0.045
WSH,2008,WSH,2008030122,WSH,NYR,HOME,20090418,Team Level,other,1.0,1.0,1.0,51.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.065,0.065,0.065,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH,2008,WSH,2008030122,WSH,NYR,HOME,20090418,Team Level,all,0.683,0.6471,0.6277,3600.0,41.818,3.913,2.987,9.678,1.282,22.416,17.788,3.72,3.727,3.537,35.0,24.0,29.0,88.0,0.0,5.0,0.0,13.0,0.0,20.0,21.0,35.0,59.0,5.0,10.0,32.0,20.0,7.0,24.0,44.0,10.0,5.0,1.433,1.202,1.279,0.0,0.0,0.0,82.625,59.0,55.648,16.0,0.65,1.279,1.279,3.219,3.037,2.987,25.288,1.816,1.635,5.572,0.767,14.467,10.743,1.796,1.945,1.922,24.0,11.0,13.0,48.0,1.0,1.0,0.0,8.0,1.0,11.0,13.0,23.0,34.0,3.0,6.0,28.0,23.0,10.0,7.0,27.0,6.0,2.0,0.429,0.744,0.643,0.0,1.0,0.0,51.044,35.0,37.23,5.0,0.371,0.328,0.328,1.86,1.977,1.974
WSH,2008,WSH,2008030122,WSH,NYR,HOME,20090418,Team Level,5on5,0.6336,0.6827,0.6479,2589.0,32.852,2.473,2.18,7.915,0.995,18.455,13.983,2.423,2.286,2.24,27.0,19.0,25.0,71.0,0.0,2.0,0.0,10.0,0.0,17.0,17.0,27.0,46.0,5.0,10.0,22.0,16.0,5.0,19.0,37.0,7.0,2.0,1.158,0.848,0.467,0.0,0.0,0.0,65.625,46.0,42.648,13.0,0.447,0.467,0.467,2.453,2.271,2.244,18.585,1.43,1.151,4.166,0.539,9.815,7.899,1.409,1.558,1.536,17.0,8.0,8.0,33.0,1.0,1.0,0.0,7.0,1.0,7.0,8.0,16.0,24.0,3.0,6.0,21.0,20.0,7.0,6.0,18.0,6.0,1.0,0.358,0.744,0.328,0.0,1.0,0.0,36.044,25.0,27.23,4.0,0.236,0.328,0.328,1.339,1.456,1.453
WSH,2008,WSH,2008030122,WSH,NYR,HOME,20090418,Team Level,4on5,0.0648,0.125,0.1818,600.0,1.049,0.026,0.032,0.134,0.031,0.241,1.535,0.026,0.026,0.026,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,4.0,1.0,3.0,2.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.007,0.0,0.0,0.033,0.033,0.033,6.018,0.375,0.467,1.338,0.212,4.384,2.225,0.375,0.375,0.375,6.0,3.0,5.0,14.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,6.0,9.0,0.0,0.0,5.0,2.0,1.0,1.0,8.0,0.0,1.0,0.06,0.0,0.315,0.0,0.0,0.0,14.0,9.0,9.0,1.0,0.128,0.0,0.0,0.503,0.503,0.503
WSH,2008,WSH,2008030122,WSH,NYR,HOME,20090418,Team Level,5on4,0.9912,0.9333,0.9091,360.0,7.917,1.349,0.775,1.63,0.256,3.72,2.27,1.206,1.349,1.206,6.0,4.0,4.0,14.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,10.0,0.0,0.0,7.0,0.0,1.0,2.0,4.0,3.0,3.0,0.184,0.354,0.812,0.0,0.0,0.0,14.0,10.0,10.0,0.0,0.195,0.812,0.812,0.733,0.733,0.709,0.685,0.012,0.017,0.068,0.016,0.268,0.619,0.012,0.012,0.012,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.018,0.018,0.018
