team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2013,NYR,NYR,Team Level,other,25,0.6,0.43,0.42,4736.0,39.08,13.43,2.68,5.46,1.3,19.41,10.73,10.46,13.43,10.46,33.0,20.0,22.0,75.0,4.0,4.0,0.0,8.0,4.0,19.0,14.0,29.0,49.0,2.0,4.0,38.0,15.0,6.0,13.0,19.0,8.0,26.0,0.79,0.88,11.76,1.0,0.0,3.0,75.0,53.0,53.0,6.0,0.98,1.78,2.43,11.97,11.97,9.9,52.65,8.93,3.77,9.26,1.63,31.67,18.75,8.44,8.93,8.44,54.0,20.0,27.0,101.0,7.0,2.0,1.0,10.0,5.0,24.0,26.0,47.0,67.0,5.0,10.0,57.0,12.0,5.0,11.0,46.0,18.0,10.0,1.85,2.22,4.85,1.0,1.0,5.0,101.0,74.0,74.0,6.0,1.06,0.88,0.88,9.12,9.12,8.68
NYR,2013,NYR,NYR,Team Level,all,25,0.52,0.49,0.49,94805.0,777.23,75.15,52.3,169.7,24.24,420.55,318.06,70.78,76.03,71.65,733.0,327.0,394.0,1454.0,64.0,51.0,11.0,164.0,37.0,335.0,409.0,669.0,996.0,106.0,226.0,780.0,770.0,162.0,281.0,784.0,195.0,81.0,22.22,23.5,29.43,21.0,17.0,26.0,1475.35,1060.0,1076.63,185.0,11.77,10.74,11.51,75.41,76.19,73.27,788.58,69.56,53.49,177.96,25.38,440.22,326.39,67.36,68.87,66.69,754.0,339.0,419.0,1512.0,60.0,50.0,12.0,187.0,23.0,355.0,418.0,694.0,1033.0,125.0,263.0,867.0,730.0,145.0,282.0,814.0,213.0,66.0,22.96,25.46,21.14,19.0,16.0,25.0,1492.0,1093.0,1076.8,203.0,11.84,11.41,11.41,69.98,69.31,67.85
NYR,2013,NYR,NYR,Team Level,5on5,25,0.48,0.48,0.48,72491.0,582.78,45.28,37.57,135.59,18.03,313.53,238.98,44.32,46.16,45.18,550.0,239.0,283.0,1072.0,45.0,38.0,10.0,122.0,28.0,248.0,308.0,505.0,744.0,91.0,188.0,581.0,694.0,136.0,216.0,611.0,140.0,38.0,17.86,17.0,10.41,19.0,12.0,14.0,1093.35,789.0,805.63,155.0,7.77,7.42,7.54,45.51,46.28,45.79,612.74,48.26,39.03,144.47,19.66,333.69,258.9,47.14,47.57,46.47,584.0,260.0,320.0,1164.0,40.0,40.0,9.0,148.0,16.0,270.0,330.0,544.0,804.0,109.0,231.0,630.0,664.0,120.0,218.0,645.0,160.0,39.0,18.1,19.19,10.97,17.0,12.0,11.0,1144.0,844.0,827.8,170.0,8.06,8.73,8.73,47.58,46.9,46.43
NYR,2013,NYR,NYR,Team Level,4on5,25,0.2,0.2,0.22,7988.0,32.64,2.76,1.47,3.58,0.89,9.01,26.28,2.67,2.76,2.67,31.0,13.0,8.0,52.0,3.0,2.0,0.0,5.0,0.0,5.0,29.0,28.0,41.0,3.0,6.0,70.0,39.0,14.0,20.0,32.0,9.0,3.0,0.89,1.06,0.81,1.0,2.0,0.0,52.0,44.0,44.0,18.0,0.34,0.42,0.42,2.68,2.68,2.67,106.22,11.07,9.95,22.06,3.61,70.02,35.28,10.48,11.07,10.48,98.0,54.0,62.0,214.0,11.0,8.0,2.0,25.0,2.0,56.0,50.0,87.0,141.0,6.0,12.0,84.0,17.0,2.0,29.0,106.0,30.0,16.0,2.55,3.41,5.11,1.0,1.0,9.0,214.0,152.0,152.0,3.0,2.55,1.8,1.8,11.81,11.81,11.27
NYR,2013,NYR,NYR,Team Level,5on4,25,0.91,0.89,0.88,9590.0,122.73,13.68,10.58,25.07,4.01,78.59,42.07,13.34,13.68,13.34,119.0,55.0,81.0,255.0,12.0,7.0,1.0,29.0,5.0,63.0,58.0,107.0,162.0,10.0,28.0,91.0,22.0,6.0,32.0,122.0,38.0,14.0,2.67,4.56,6.45,0.0,3.0,9.0,255.0,174.0,174.0,6.0,2.68,1.12,1.12,15.25,15.25,14.92,16.96,1.3,0.74,2.18,0.48,4.84,13.46,1.3,1.3,1.3,18.0,5.0,10.0,33.0,2.0,0.0,0.0,4.0,0.0,5.0,12.0,16.0,21.0,5.0,10.0,96.0,37.0,18.0,24.0,17.0,5.0,1.0,0.45,0.65,0.2,0.0,2.0,0.0,33.0,23.0,23.0,24.0,0.17,0.0,0.0,1.47,1.47,1.47
DAL,2013,DAL,DAL,Team Level,other,6,0.42,0.57,0.59,1031.0,19.43,3.05,1.76,3.95,0.76,11.04,6.43,2.84,3.05,2.84,16.0,11.0,7.0,34.0,3.0,3.0,0.0,5.0,3.0,10.0,3.0,13.0,24.0,0.0,0.0,19.0,11.0,1.0,3.0,15.0,9.0,3.0,0.35,1.08,1.62,0.0,2.0,1.0,34.0,27.0,27.0,2.0,0.55,0.87,0.87,2.73,2.73,2.56,15.01,4.26,0.95,2.5,0.5,6.46,4.32,3.12,4.26,3.12,14.0,5.0,7.0,26.0,2.0,2.0,1.0,3.0,1.0,4.0,7.0,12.0,17.0,0.0,0.0,14.0,6.0,3.0,2.0,7.0,6.0,6.0,0.24,0.88,3.15,0.0,0.0,2.0,26.0,19.0,19.0,1.0,0.31,0.97,0.97,3.6,3.6,2.74
DAL,2013,DAL,DAL,Team Level,all,6,0.5,0.54,0.54,21767.0,202.83,18.41,14.75,45.58,6.67,115.04,83.54,17.64,18.32,17.57,179.0,105.0,104.0,388.0,18.0,17.0,4.0,36.0,9.0,116.0,88.0,161.0,266.0,34.0,77.0,221.0,176.0,35.0,71.0,220.0,46.0,18.0,6.11,5.25,7.05,6.0,8.0,4.0,385.07,284.0,282.42,29.0,3.43,3.73,3.73,18.11,18.07,17.45,175.86,18.48,12.73,39.28,5.75,95.02,67.74,16.35,18.62,16.47,167.0,72.0,95.0,334.0,20.0,17.0,3.0,41.0,5.0,80.0,76.0,147.0,219.0,38.0,84.0,207.0,219.0,37.0,49.0,174.0,45.0,20.0,4.47,5.69,8.32,5.0,7.0,8.0,336.96,239.0,240.68,20.0,2.96,3.93,3.93,17.51,17.54,15.95
DAL,2013,DAL,DAL,Team Level,5on5,6,0.51,0.54,0.54,15284.0,137.05,9.81,8.99,32.83,4.39,75.76,59.23,9.58,9.72,9.5,125.0,66.0,78.0,269.0,12.0,11.0,4.0,25.0,5.0,74.0,64.0,113.0,179.0,31.0,71.0,144.0,144.0,21.0,48.0,157.0,27.0,7.0,4.55,3.18,2.08,5.0,5.0,2.0,266.07,191.0,189.42,21.0,1.85,2.38,2.38,9.28,9.23,9.14,119.31,9.61,8.09,28.8,3.85,64.94,47.71,9.11,9.75,9.23,110.0,53.0,70.0,233.0,10.0,12.0,2.0,27.0,2.0,56.0,56.0,100.0,153.0,34.0,76.0,139.0,193.0,25.0,33.0,125.0,28.0,10.0,3.29,3.41,2.92,4.0,2.0,4.0,235.96,163.0,164.68,15.0,1.68,2.89,2.89,8.39,8.43,8.21
DAL,2013,DAL,DAL,Team Level,4on5,6,0.05,0.09,0.11,2576.0,3.61,0.24,0.16,0.45,0.1,1.01,4.04,0.24,0.24,0.24,3.0,3.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,5.0,1.0,2.0,30.0,14.0,6.0,7.0,5.0,1.0,0.0,0.08,0.17,0.0,0.0,1.0,0.0,7.0,6.0,6.0,5.0,0.04,0.0,0.0,0.28,0.28,0.28,36.68,4.29,3.5,7.31,1.26,22.3,11.34,3.8,4.29,3.8,38.0,12.0,18.0,68.0,7.0,3.0,0.0,11.0,2.0,17.0,10.0,31.0,43.0,2.0,4.0,31.0,15.0,1.0,10.0,36.0,10.0,4.0,0.78,1.25,2.26,0.0,5.0,2.0,68.0,50.0,50.0,2.0,0.92,0.06,0.06,5.15,5.15,4.64
DAL,2013,DAL,DAL,Team Level,5on4,6,0.94,0.92,0.9,2876.0,42.74,5.3,3.84,8.35,1.42,27.23,13.85,4.98,5.3,4.98,35.0,25.0,18.0,78.0,2.0,3.0,0.0,5.0,1.0,30.0,19.0,33.0,58.0,2.0,4.0,28.0,7.0,7.0,13.0,43.0,9.0,8.0,1.14,0.81,3.35,1.0,0.0,1.0,78.0,60.0,60.0,1.0,0.99,0.47,0.47,5.82,5.82,5.47,4.86,0.32,0.19,0.67,0.14,1.32,4.37,0.32,0.32,0.32,5.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,6.0,2.0,4.0,23.0,5.0,8.0,4.0,6.0,1.0,0.0,0.16,0.16,0.0,1.0,0.0,0.0,7.0,7.0,7.0,2.0,0.04,0.0,0.0,0.36,0.36,0.36
